id,filename,boxes,top_n,var_thresh,modes,frequency,season,methods,extra_indices,only_sea
676a31ca,predictor_676a31ca_6.parquet,0,5,,1,2monthly,6,ps,,False
676a31ca,predictor_676a31ca_7.parquet,0,5,,1,2monthly,7,ps,,False
676a31ca,predictor_676a31ca_8.parquet,0,5,,1,2monthly,8,ps,,False
676a31ca,predictor_676a31ca_9.parquet,0,5,,1,2monthly,9,ps,,False
676a31ca,predictor_676a31ca_10.parquet,0,5,,1,2monthly,10,ps,,False
676a31ca,predictor_676a31ca_11.parquet,0,5,,1,2monthly,11,ps,,False
676a31ca,predictor_676a31ca_12.parquet,0,5,,1,2monthly,12,ps,,False
20d3f2f7,predictor_20d3f2f7_1.parquet,0,10,,1,2monthly,1,ps,,False
20d3f2f7,predictor_20d3f2f7_2.parquet,0,10,,1,2monthly,2,ps,,False
20d3f2f7,predictor_20d3f2f7_3.parquet,0,10,,1,2monthly,3,ps,,False
20d3f2f7,predictor_20d3f2f7_4.parquet,0,10,,1,2monthly,4,ps,,False
20d3f2f7,predictor_20d3f2f7_5.parquet,0,10,,1,2monthly,5,ps,,False
20d3f2f7,predictor_20d3f2f7_6.parquet,0,10,,1,2monthly,6,ps,,False
20d3f2f7,predictor_20d3f2f7_7.parquet,0,10,,1,2monthly,7,ps,,False
20d3f2f7,predictor_20d3f2f7_8.parquet,0,10,,1,2monthly,8,ps,,False
20d3f2f7,predictor_20d3f2f7_9.parquet,0,10,,1,2monthly,9,ps,,False
20d3f2f7,predictor_20d3f2f7_10.parquet,0,10,,1,2monthly,10,ps,,False
20d3f2f7,predictor_20d3f2f7_11.parquet,0,10,,1,2monthly,11,ps,,False
20d3f2f7,predictor_20d3f2f7_12.parquet,0,10,,1,2monthly,12,ps,,False
e0879131,predictor_e0879131_1.parquet,0,15,,1,2monthly,1,ps,,False
e0879131,predictor_e0879131_2.parquet,0,15,,1,2monthly,2,ps,,False
e0879131,predictor_e0879131_3.parquet,0,15,,1,2monthly,3,ps,,False
e0879131,predictor_e0879131_4.parquet,0,15,,1,2monthly,4,ps,,False
e0879131,predictor_e0879131_5.parquet,0,15,,1,2monthly,5,ps,,False
e0879131,predictor_e0879131_6.parquet,0,15,,1,2monthly,6,ps,,False
e0879131,predictor_e0879131_7.parquet,0,15,,1,2monthly,7,ps,,False
e0879131,predictor_e0879131_8.parquet,0,15,,1,2monthly,8,ps,,False
e0879131,predictor_e0879131_9.parquet,0,15,,1,2monthly,9,ps,,False
e0879131,predictor_e0879131_10.parquet,0,15,,1,2monthly,10,ps,,False
e0879131,predictor_e0879131_11.parquet,0,15,,1,2monthly,11,ps,,False
e0879131,predictor_e0879131_12.parquet,0,15,,1,2monthly,12,ps,,False
f2229bf6,predictor_f2229bf6_1.parquet,0,20,,1,2monthly,1,ps,,False
f2229bf6,predictor_f2229bf6_2.parquet,0,20,,1,2monthly,2,ps,,False
f2229bf6,predictor_f2229bf6_3.parquet,0,20,,1,2monthly,3,ps,,False
f2229bf6,predictor_f2229bf6_4.parquet,0,20,,1,2monthly,4,ps,,False
f2229bf6,predictor_f2229bf6_5.parquet,0,20,,1,2monthly,5,ps,,False
f2229bf6,predictor_f2229bf6_6.parquet,0,20,,1,2monthly,6,ps,,False
f2229bf6,predictor_f2229bf6_7.parquet,0,20,,1,2monthly,7,ps,,False
f2229bf6,predictor_f2229bf6_8.parquet,0,20,,1,2monthly,8,ps,,False
f2229bf6,predictor_f2229bf6_9.parquet,0,20,,1,2monthly,9,ps,,False
