model,season,metric,stage,HWN,HWF,Average,id_data
XGB10,9,mape,prediction,4.5537870898126425,2.063725868515861,3.3087564791642516,978f49d7
RNN16,9,mape,prediction,2.8875836954554783,1.5017179033817136,2.194650799418596,978f49d7
LSTM16,9,mape,prediction,2.2242819955878805,1.2667095731738214,1.745495784380851,978f49d7
CNNRNN16,9,mape,prediction,2.617444403605697,1.474491186368509,2.045967794987103,978f49d7
CNNLSTM16,9,mape,prediction,4.080107324972015,2.703849873302783,3.3919785991373987,978f49d7
MLP16,9,mape,prediction,1.434439108629887,1.0006525201987173,1.217545814414302,978f49d7
Linear,10,mape,prediction,2.376934967419724,2.241877221299639,2.309406094359682,978f49d7
RF10,10,mape,prediction,2.8360714285714286,3.51737971397037,3.1767255712708993,978f49d7
SVR-rbf,10,mape,prediction,1.2267569824064588,1.3605739999682942,1.2936654911873764,978f49d7
SVR-linear,10,mape,prediction,1.8935510765536947,1.6026737453351416,1.7481124109444182,978f49d7
XGB10,10,mape,prediction,1.0139075730799652,2.1107748140303575,1.5623411935551612,978f49d7
RNN16,10,mape,prediction,0.78443142436367,1.226610662847389,1.0055210436055295,978f49d7
LSTM16,10,mape,prediction,1.5346499920359855,1.7666003055014243,1.650625148768705,978f49d7
CNNRNN16,10,mape,prediction,1.1023319959258875,1.4779620522669081,1.290147024096398,978f49d7
CNNLSTM16,10,mape,prediction,1.8367819030769326,1.865866120248704,1.8513240116628182,978f49d7
MLP16,10,mape,prediction,1.0356667300614615,1.6255440024247734,1.3306053662431174,978f49d7
Linear,11,mape,prediction,0.9145168543227606,0.9860110460551846,0.9502639501889727,978f49d7
RF10,11,mape,prediction,1.003559131630868,1.13098592658378,1.0672725291073242,978f49d7
SVR-rbf,11,mape,prediction,1.275024790997692,1.5215094802719802,1.398267135634836,978f49d7
SVR-linear,11,mape,prediction,1.1171993906071067,1.2589713827653672,1.1880853866862369,978f49d7
XGB10,11,mape,prediction,1.0128482936751937,1.312523411574751,1.1626858526249724,978f49d7
RNN16,11,mape,prediction,0.993498644666469,1.2504006426018723,1.1219496436341707,978f49d7
LSTM16,11,mape,prediction,0.8177301890504316,0.7793615973155206,0.7985458931829761,978f49d7
CNNRNN16,11,mape,prediction,1.0878289018508536,1.2218690132570103,1.154848957553932,978f49d7
CNNLSTM16,11,mape,prediction,1.0502196983440404,1.2112427939623829,1.1307312461532115,978f49d7
MLP16,11,mape,prediction,1.1866667573704184,1.2723056354477054,1.229486196409062,978f49d7
Linear,12,mape,prediction,1.0151953690998672,0.9555072440346863,0.9853513065672768,978f49d7
RF10,12,mape,prediction,0.8840612895226856,0.7763027487355102,0.8301820191290978,978f49d7
SVR-rbf,12,mape,prediction,0.9652195719389208,0.8144629464685419,0.8898412592037314,978f49d7
SVR-linear,12,mape,prediction,1.068600792667517,0.9504777690153805,1.0095392808414487,978f49d7
XGB10,12,mape,prediction,0.8601356388380135,0.7551663929056682,0.8076510158718408,978f49d7
RNN16,12,mape,prediction,0.8074391421634696,0.654743514938288,0.7310913285508788,978f49d7
LSTM16,12,mape,prediction,0.7391440090188695,0.6267936726256119,0.6829688408222407,978f49d7
CNNRNN16,12,mape,prediction,0.8139423350490176,0.7703707664524055,0.7921565507507116,978f49d7
CNNLSTM16,12,mape,prediction,0.7027184874637543,0.701904687649554,0.7023115875566541,978f49d7
MLP16,12,mape,prediction,0.7314632562035135,0.5280036541466939,0.6297334551751037,978f49d7
Linear,1,mae,prediction,0.7569491019810343,0.9925079589134735,0.8747285304472538,978f49d7
RF10,1,mae,prediction,0.5355868387354407,1.1152421256386678,0.8254144821870542,978f49d7
SVR-rbf,1,mae,prediction,0.7740436728024704,1.1054058145471095,0.93972474367479,978f49d7
SVR-linear,1,mae,prediction,0.9980298928580862,1.2778243521189308,1.1379271224885086,978f49d7
XGB10,1,mae,prediction,0.693839608484239,1.0743117045930541,0.8840756565386465,978f49d7
RNN16,1,mae,prediction,0.6105340375441066,0.7848487926966465,0.6976914151203766,978f49d7
LSTM16,1,mae,prediction,0.5268110914119282,0.868515597688309,0.6976633445501186,978f49d7
CNNRNN16,1,mae,prediction,0.6106742594179815,0.9384747146016872,0.7745744870098343,978f49d7
CNNLSTM16,1,mae,prediction,0.7663825669201962,1.2977603136090587,1.0320714402646276,978f49d7
MLP16,1,mae,prediction,0.5215958121952718,0.9625029681710553,0.7420493901831635,978f49d7
Linear,2,mae,prediction,0.7709597397220492,0.9150153149285323,0.8429875273252907,978f49d7
RF10,2,mae,prediction,1.4979369121276993,1.3578650845497449,1.427900998338722,978f49d7
SVR-rbf,2,mae,prediction,1.5607995659086933,1.5533502566841666,1.55707491129643,978f49d7
SVR-linear,2,mae,prediction,1.098643463730094,1.1155939227428118,1.107118693236453,978f49d7
XGB10,2,mae,prediction,1.3356380524363556,1.3809448840699972,1.3582914682531764,978f49d7
RNN16,2,mae,prediction,1.1439763160672225,1.2445342232378085,1.1942552696525155,978f49d7
LSTM16,2,mae,prediction,1.2321804570283927,1.2180263076813778,1.2251033823548854,978f49d7
CNNRNN16,2,mae,prediction,1.3242837669577636,1.2774201077313978,1.3008519373445808,978f49d7
CNNLSTM16,2,mae,prediction,1.3552066224484414,1.7096598597846806,1.532433241116561,978f49d7
MLP16,2,mae,prediction,1.1580747221453755,1.2886607882471641,1.2233677551962698,978f49d7
Linear,3,mae,prediction,1.209628409098406,1.208884571147012,1.209256490122709,978f49d7
RF10,3,mae,prediction,0.8292442904458447,0.9936212860539196,0.9114327882498822,978f49d7
SVR-rbf,3,mae,prediction,0.8745384624835717,0.7872545956498377,0.8308965290667047,978f49d7
SVR-linear,3,mae,prediction,1.107815173278194,1.0693665588806582,1.0885908660794261,978f49d7
XGB10,3,mae,prediction,0.9861103033173801,0.9620981948394208,0.9741042490784004,978f49d7
RNN16,3,mae,prediction,0.8343042934204761,0.48296894943403224,0.6586366214272541,978f49d7
LSTM16,3,mae,prediction,0.7602877785909894,0.681206025912993,0.7207469022519912,978f49d7
CNNRNN16,3,mae,prediction,0.757658981765781,0.7164673792142301,0.7370631804900055,978f49d7
CNNLSTM16,3,mae,prediction,0.7634086609326507,0.6555429147500424,0.7094757878413466,978f49d7
MLP16,3,mae,prediction,0.7645138124480586,0.8884370403308303,0.8264754263894445,978f49d7
Linear,4,mae,prediction,0.7507722674291413,0.673703787103076,0.7122380272661086,978f49d7
RF10,4,mae,prediction,0.4866244670898651,0.37708653493033606,0.4318555010101006,978f49d7
SVR-rbf,4,mae,prediction,0.40530844295754653,0.4079401595311415,0.406624301244344,978f49d7
SVR-linear,4,mae,prediction,0.6325410562977231,0.5534264190192795,0.5929837376585012,978f49d7
XGB10,4,mae,prediction,0.32094404283608835,0.26678146820556126,0.2938627555208248,978f49d7
RNN16,4,mae,prediction,0.32152684298547796,0.36692297468261303,0.3442249088340455,978f49d7
LSTM16,4,mae,prediction,0.17774178502353719,0.33943717787341654,0.2585894814484769,978f49d7
CNNRNN16,4,mae,prediction,0.29494916094156054,0.30663102965842687,0.3007900952999937,978f49d7
CNNLSTM16,4,mae,prediction,0.3069656108949535,0.48762945020870746,0.3972975305518305,978f49d7
MLP16,4,mae,prediction,0.23462535847092778,0.2134022244282204,0.2240137914495741,978f49d7
Linear,5,mae,prediction,1.165983741706313,1.0634515507519633,1.1147176462291382,978f49d7
RF10,5,mae,prediction,1.1530576900370273,1.1053116615604486,1.1291846757987378,978f49d7
SVR-rbf,5,mae,prediction,1.123244245433423,1.0746376327826597,1.0989409391080414,978f49d7
SVR-linear,5,mae,prediction,1.1710913097807152,1.1026446758816595,1.1368679928311873,978f49d7
XGB10,5,mae,prediction,1.1281892790929597,1.0567639064467553,1.0924765927698576,978f49d7
RNN16,5,mae,prediction,1.0702800578697635,1.076909249690831,1.0735946537802974,978f49d7
