id,filename,boxes,top_n,var_thresh,modes,frequency,season,methods,extra_indices,only_sea
515c5f16,predictor_515c5f16_4.parquet,0,5,None,1,2monthly,4,ps,None,True
515c5f16,predictor_515c5f16_5.parquet,0,5,None,1,2monthly,5,ps,None,True
515c5f16,predictor_515c5f16_6.parquet,0,5,None,1,2monthly,6,ps,None,True
515c5f16,predictor_515c5f16_7.parquet,0,5,None,1,2monthly,7,ps,None,True
515c5f16,predictor_515c5f16_8.parquet,0,5,None,1,2monthly,8,ps,None,True
515c5f16,predictor_515c5f16_9.parquet,0,5,None,1,2monthly,9,ps,None,True
515c5f16,predictor_515c5f16_10.parquet,0,5,None,1,2monthly,10,ps,None,True
515c5f16,predictor_515c5f16_11.parquet,0,5,None,1,2monthly,11,ps,None,True
515c5f16,predictor_515c5f16_12.parquet,0,5,None,1,2monthly,12,ps,None,True
33b6960f,predictor_33b6960f_1.parquet,0,10,None,1,2monthly,1,ps,None,True
33b6960f,predictor_33b6960f_2.parquet,0,10,None,1,2monthly,2,ps,None,True
33b6960f,predictor_33b6960f_3.parquet,0,10,None,1,2monthly,3,ps,None,True
33b6960f,predictor_33b6960f_4.parquet,0,10,None,1,2monthly,4,ps,None,True
33b6960f,predictor_33b6960f_5.parquet,0,10,None,1,2monthly,5,ps,None,True
33b6960f,predictor_33b6960f_6.parquet,0,10,None,1,2monthly,6,ps,None,True
33b6960f,predictor_33b6960f_7.parquet,0,10,None,1,2monthly,7,ps,None,True
33b6960f,predictor_33b6960f_8.parquet,0,10,None,1,2monthly,8,ps,None,True
33b6960f,predictor_33b6960f_9.parquet,0,10,None,1,2monthly,9,ps,None,True
33b6960f,predictor_33b6960f_10.parquet,0,10,None,1,2monthly,10,ps,None,True
33b6960f,predictor_33b6960f_11.parquet,0,10,None,1,2monthly,11,ps,None,True
33b6960f,predictor_33b6960f_12.parquet,0,10,None,1,2monthly,12,ps,None,True
8ee5f8a8,predictor_8ee5f8a8_1.parquet,0,15,None,1,2monthly,1,ps,None,True
8ee5f8a8,predictor_8ee5f8a8_2.parquet,0,15,None,1,2monthly,2,ps,None,True
8ee5f8a8,predictor_8ee5f8a8_3.parquet,0,15,None,1,2monthly,3,ps,None,True
8ee5f8a8,predictor_8ee5f8a8_4.parquet,0,15,None,1,2monthly,4,ps,None,True
8ee5f8a8,predictor_8ee5f8a8_5.parquet,0,15,None,1,2monthly,5,ps,None,True
8ee5f8a8,predictor_8ee5f8a8_6.parquet,0,15,None,1,2monthly,6,ps,None,True
8ee5f8a8,predictor_8ee5f8a8_7.parquet,0,15,None,1,2monthly,7,ps,None,True
8ee5f8a8,predictor_8ee5f8a8_8.parquet,0,15,None,1,2monthly,8,ps,None,True
8ee5f8a8,predictor_8ee5f8a8_9.parquet,0,15,None,1,2monthly,9,ps,None,True
8ee5f8a8,predictor_8ee5f8a8_10.parquet,0,15,None,1,2monthly,10,ps,None,True
8ee5f8a8,predictor_8ee5f8a8_11.parquet,0,15,None,1,2monthly,11,ps,None,True
8ee5f8a8,predictor_8ee5f8a8_12.parquet,0,15,None,1,2monthly,12,ps,None,True
22baf9e8,predictor_22baf9e8_1.parquet,0,20,None,1,2monthly,1,ps,None,True
22baf9e8,predictor_22baf9e8_2.parquet,0,20,None,1,2monthly,2,ps,None,True
22baf9e8,predictor_22baf9e8_3.parquet,0,20,None,1,2monthly,3,ps,None,True
22baf9e8,predictor_22baf9e8_4.parquet,0,20,None,1,2monthly,4,ps,None,True
22baf9e8,predictor_22baf9e8_5.parquet,0,20,None,1,2monthly,5,ps,None,True
22baf9e8,predictor_22baf9e8_6.parquet,0,20,None,1,2monthly,6,ps,None,True
22baf9e8,predictor_22baf9e8_7.parquet,0,20,None,1,2monthly,7,ps,None,True
22baf9e8,predictor_22baf9e8_8.parquet,0,20,None,1,2monthly,8,ps,None,True
22baf9e8,predictor_22baf9e8_9.parquet,0,20,None,1,2monthly,9,ps,None,True
22baf9e8,predictor_22baf9e8_10.parquet,0,20,None,1,2monthly,10,ps,None,True
22baf9e8,predictor_22baf9e8_11.parquet,0,20,None,1,2monthly,11,ps,None,True
22baf9e8,predictor_22baf9e8_12.parquet,0,20,None,1,2monthly,12,ps,None,True
de832691,predictor_de832691_1.parquet,0,30,None,1,2monthly,1,ps,None,True
de832691,predictor_de832691_2.parquet,0,30,None,1,2monthly,2,ps,None,True
de832691,predictor_de832691_3.parquet,0,30,None,1,2monthly,3,ps,None,True
de832691,predictor_de832691_4.parquet,0,30,None,1,2monthly,4,ps,None,True
de832691,predictor_de832691_5.parquet,0,30,None,1,2monthly,5,ps,None,True
de832691,predictor_de832691_6.parquet,0,30,None,1,2monthly,6,ps,None,True
de832691,predictor_de832691_7.parquet,0,30,None,1,2monthly,7,ps,None,True
de832691,predictor_de832691_8.parquet,0,30,None,1,2monthly,8,ps,None,True
de832691,predictor_de832691_9.parquet,0,30,None,1,2monthly,9,ps,None,True
de832691,predictor_de832691_10.parquet,0,30,None,1,2monthly,10,ps,None,True
de832691,predictor_de832691_11.parquet,0,30,None,1,2monthly,11,ps,None,True
de832691,predictor_de832691_12.parquet,0,30,None,1,2monthly,12,ps,None,True
8f0d274d,predictor_8f0d274d_1.parquet,0,5,0.05,1,2monthly,1,ps,None,True
8f0d274d,predictor_8f0d274d_2.parquet,0,5,0.05,1,2monthly,2,ps,None,True
8f0d274d,predictor_8f0d274d_3.parquet,0,5,0.05,1,2monthly,3,ps,None,True
8f0d274d,predictor_8f0d274d_4.parquet,0,5,0.05,1,2monthly,4,ps,None,True
8f0d274d,predictor_8f0d274d_5.parquet,0,5,0.05,1,2monthly,5,ps,None,True
8f0d274d,predictor_8f0d274d_6.parquet,0,5,0.05,1,2monthly,6,ps,None,True
8f0d274d,predictor_8f0d274d_7.parquet,0,5,0.05,1,2monthly,7,ps,None,True
8f0d274d,predictor_8f0d274d_8.parquet,0,5,0.05,1,2monthly,8,ps,None,True
8f0d274d,predictor_8f0d274d_9.parquet,0,5,0.05,1,2monthly,9,ps,None,True
8f0d274d,predictor_8f0d274d_10.parquet,0,5,0.05,1,2monthly,10,ps,None,True
8f0d274d,predictor_8f0d274d_11.parquet,0,5,0.05,1,2monthly,11,ps,None,True
8f0d274d,predictor_8f0d274d_12.parquet,0,5,0.05,1,2monthly,12,ps,None,True
c78d9d18,predictor_c78d9d18_1.parquet,0,10,0.05,1,2monthly,1,ps,None,True
c78d9d18,predictor_c78d9d18_2.parquet,0,10,0.05,1,2monthly,2,ps,None,True
c78d9d18,predictor_c78d9d18_3.parquet,0,10,0.05,1,2monthly,3,ps,None,True
c78d9d18,predictor_c78d9d18_4.parquet,0,10,0.05,1,2monthly,4,ps,None,True
c78d9d18,predictor_c78d9d18_5.parquet,0,10,0.05,1,2monthly,5,ps,None,True
c78d9d18,predictor_c78d9d18_6.parquet,0,10,0.05,1,2monthly,6,ps,None,True
c78d9d18,predictor_c78d9d18_7.parquet,0,10,0.05,1,2monthly,7,ps,None,True
c78d9d18,predictor_c78d9d18_8.parquet,0,10,0.05,1,2monthly,8,ps,None,True
c78d9d18,predictor_c78d9d18_9.parquet,0,10,0.05,1,2monthly,9,ps,None,True
c78d9d18,predictor_c78d9d18_10.parquet,0,10,0.05,1,2monthly,10,ps,None,True
c78d9d18,predictor_c78d9d18_11.parquet,0,10,0.05,1,2monthly,11,ps,None,True
c78d9d18,predictor_c78d9d18_12.parquet,0,10,0.05,1,2monthly,12,ps,None,True
7cf808b3,predictor_7cf808b3_1.parquet,0,15,0.05,1,2monthly,1,ps,None,True
7cf808b3,predictor_7cf808b3_2.parquet,0,15,0.05,1,2monthly,2,ps,None,True
7cf808b3,predictor_7cf808b3_3.parquet,0,15,0.05,1,2monthly,3,ps,None,True
7cf808b3,predictor_7cf808b3_4.parquet,0,15,0.05,1,2monthly,4,ps,None,True
7cf808b3,predictor_7cf808b3_5.parquet,0,15,0.05,1,2monthly,5,ps,None,True
7cf808b3,predictor_7cf808b3_6.parquet,0,15,0.05,1,2monthly,6,ps,None,True
7cf808b3,predictor_7cf808b3_7.parquet,0,15,0.05,1,2monthly,7,ps,None,True
7cf808b3,predictor_7cf808b3_8.parquet,0,15,0.05,1,2monthly,8,ps,None,True
7cf808b3,predictor_7cf808b3_9.parquet,0,15,0.05,1,2monthly,9,ps,None,True
7cf808b3,predictor_7cf808b3_10.parquet,0,15,0.05,1,2monthly,10,ps,None,True
7cf808b3,predictor_7cf808b3_11.parquet,0,15,0.05,1,2monthly,11,ps,None,True
7cf808b3,predictor_7cf808b3_12.parquet,0,15,0.05,1,2monthly,12,ps,None,True
9c27f2e2,predictor_9c27f2e2_1.parquet,0,20,0.05,1,2monthly,1,ps,None,True
9c27f2e2,predictor_9c27f2e2_2.parquet,0,20,0.05,1,2monthly,2,ps,None,True
9c27f2e2,predictor_9c27f2e2_3.parquet,0,20,0.05,1,2monthly,3,ps,None,True
9c27f2e2,predictor_9c27f2e2_4.parquet,0,20,0.05,1,2monthly,4,ps,None,True
9c27f2e2,predictor_9c27f2e2_5.parquet,0,20,0.05,1,2monthly,5,ps,None,True
9c27f2e2,predictor_9c27f2e2_6.parquet,0,20,0.05,1,2monthly,6,ps,None,True
9c27f2e2,predictor_9c27f2e2_7.parquet,0,20,0.05,1,2monthly,7,ps,None,True
9c27f2e2,predictor_9c27f2e2_8.parquet,0,20,0.05,1,2monthly,8,ps,None,True
9c27f2e2,predictor_9c27f2e2_9.parquet,0,20,0.05,1,2monthly,9,ps,None,True
9c27f2e2,predictor_9c27f2e2_10.parquet,0,20,0.05,1,2monthly,10,ps,None,True
9c27f2e2,predictor_9c27f2e2_11.parquet,0,20,0.05,1,2monthly,11,ps,None,True
9c27f2e2,predictor_9c27f2e2_12.parquet,0,20,0.05,1,2monthly,12,ps,None,True
a76cf7e1,predictor_a76cf7e1_1.parquet,0,30,0.05,1,2monthly,1,ps,None,True
a76cf7e1,predictor_a76cf7e1_2.parquet,0,30,0.05,1,2monthly,2,ps,None,True
a76cf7e1,predictor_a76cf7e1_3.parquet,0,30,0.05,1,2monthly,3,ps,None,True
a76cf7e1,predictor_a76cf7e1_4.parquet,0,30,0.05,1,2monthly,4,ps,None,True
a76cf7e1,predictor_a76cf7e1_5.parquet,0,30,0.05,1,2monthly,5,ps,None,True
a76cf7e1,predictor_a76cf7e1_6.parquet,0,30,0.05,1,2monthly,6,ps,None,True
a76cf7e1,predictor_a76cf7e1_7.parquet,0,30,0.05,1,2monthly,7,ps,None,True
a76cf7e1,predictor_a76cf7e1_8.parquet,0,30,0.05,1,2monthly,8,ps,None,True
a76cf7e1,predictor_a76cf7e1_9.parquet,0,30,0.05,1,2monthly,9,ps,None,True
a76cf7e1,predictor_a76cf7e1_10.parquet,0,30,0.05,1,2monthly,10,ps,None,True
a76cf7e1,predictor_a76cf7e1_11.parquet,0,30,0.05,1,2monthly,11,ps,None,True
a76cf7e1,predictor_a76cf7e1_12.parquet,0,30,0.05,1,2monthly,12,ps,None,True
d72bf2c8,predictor_d72bf2c8_1.parquet,0,5,0.1,1,2monthly,1,ps,None,True
