model,season,metric,stage,HWN,HWF,HWD,HWM,HWA,Average,id_data
CNNRNN16,5,r2,prediction,-0.45781367471026924,-0.5331317399913729,-0.6420486857134862,-0.5178745304346704,-0.4408324511958852,-0.5183402164091367,41e7367e
CNNLSTM16,5,r2,prediction,-0.37732039830565633,-0.5011473121131991,-0.5514205395615261,-0.3704871784906767,-0.3002253094540779,-0.42012014758502725,41e7367e
MLP16,5,r2,prediction,0.09485097993735514,-0.08011423647046123,-0.13606301322633718,0.44739790499716137,0.18749814062979886,0.10271395517350339,41e7367e
Linear,6,r2,prediction,-1.1547039981365046,-1.3710648990896233,-0.5318059517045037,-4.032665005523714,-1.2901370321921513,-1.6760753773292993,41e7367e
RF10,6,r2,prediction,0.65,0.6902777777777779,0.1597222222222222,-0.7617339059749582,0.43700246979556445,0.23505371276412124,41e7367e
SVR-rbf,6,r2,prediction,-0.2760163523691901,-0.2956121612582625,-0.23806748031901703,-0.32070979576405856,-0.27613608025988867,-0.28130837399408337,41e7367e
SVR-linear,6,r2,prediction,-0.24413028321661856,-0.25598873460944604,-0.22226353583303515,-0.3519380379713395,-0.24382581396806824,-0.2636292811197015,41e7367e
XGB10,6,r2,prediction,-0.2508693124008323,-0.32689097175229054,0.17645356772535903,-0.5446437493252225,-0.025144238787068174,-0.1942189409080109,41e7367e
RNN16,6,r2,prediction,-0.10049462961390332,-0.07588744710297846,-0.1434505233199963,-0.032303028568739345,-0.04576855768755084,-0.07958083725863366,41e7367e
LSTM16,6,r2,prediction,-0.22441916183515875,-0.19697339453558316,-0.1953083677810299,-0.20320179830423002,-0.17629813826836616,-0.1992401721448736,41e7367e
CNNRNN16,6,r2,prediction,-0.19701144333978649,-0.21945190149666094,-0.2252622933400914,-0.19465512313428124,-0.22075789327605166,-0.21142773091737435,41e7367e
CNNLSTM16,6,r2,prediction,0.10416487023405085,-0.10860383449997912,-0.07128830981352507,0.060861929066237996,0.059276513949277465,0.008882233787212424,41e7367e
MLP16,6,r2,prediction,0.5871520780331076,0.28212816980877176,0.4367440863930523,0.8553950027979184,0.4535556918203062,0.5229950057706312,41e7367e
Linear,7,r2,prediction,-0.2471709896705827,-0.2824477052497969,-0.2710426039469995,-0.26611555531101816,-0.38568208976477125,-0.2904917887886337,41e7367e
RF10,7,r2,prediction,-0.2999999999999998,-0.26578947368421035,-0.16710526315789487,-0.4252492173058964,-0.49333842522719284,-0.33029647587503885,41e7367e
SVR-rbf,7,r2,prediction,-0.46895218806360983,-0.4495697713466644,-0.47215743043037706,-0.36269049837941525,-0.36088838015558333,-0.42285165367513,41e7367e
SVR-linear,7,r2,prediction,-0.5074750138099986,-0.4702402707792981,-0.4887325645668714,-0.4279657475686225,-0.4368462236969115,-0.46625196408434044,41e7367e
XGB10,7,r2,prediction,-0.7497131761239084,-0.6626403316677585,-0.6827624272251582,-0.5711061664066399,-0.5611970252365783,-0.6454838253320088,41e7367e
RNN16,7,r2,prediction,-0.5838046604063458,-0.4936639830814289,-0.6295837958653383,-0.36128262253233223,-0.3345880198247415,-0.4805846163420374,41e7367e
LSTM16,7,r2,prediction,-0.6425471515731769,-0.563340196766025,-0.5991107682604648,-0.39680063021624146,-0.4346892066457322,-0.5272975906923281,41e7367e
CNNRNN16,7,r2,prediction,-0.6260000969192425,-0.6189501466768468,-0.6202286368473313,-0.4082439456834728,-0.4094141535645033,-0.5365673959382793,41e7367e
CNNLSTM16,7,r2,prediction,-0.5275756986535403,-0.6100808310281753,-0.5547558368034782,-0.32128613884825663,-0.2904553759151627,-0.46083077624972263,41e7367e
MLP16,7,r2,prediction,-0.23581738577025702,-0.4333633555377139,-0.2560147631448264,-0.33273977887754236,-0.34458737198283296,-0.32050453106263455,41e7367e
Linear,8,r2,prediction,-0.7558133427631493,-1.2234155048238065,-2.460544682549246,-1.1435795082226,-0.7105401609616899,-1.2587786398640985,41e7367e
RF10,8,r2,prediction,-0.25000000000000044,-0.26111111111111174,-0.2722222222222226,-0.15602812955914547,-0.1770994074227994,-0.22329217406305593,41e7367e
SVR-rbf,8,r2,prediction,-0.1538406104394996,-0.13466858816964433,-0.0680937352330373,-0.1382851865955701,-0.14018941316326838,-0.12701550672020395,41e7367e
SVR-linear,8,r2,prediction,-0.6146168442446531,-1.136389284402143,-2.576576115550654,-1.001135312854776,-0.9522613180227122,-1.2561957750149877,41e7367e
XGB10,8,r2,prediction,-0.13103802355939065,-0.10677428573933279,-0.029763484019405206,-0.10938094671159848,-0.11265195054345134,-0.0979217381146357,41e7367e
RNN16,8,r2,prediction,-0.21861191051327822,-0.22314877201392225,-0.19113496684135534,-0.22587630133340264,-0.2283840415331604,-0.21743119844702377,41e7367e
LSTM16,8,r2,prediction,-0.23972352328054347,-0.20202781252763735,-0.2532539984516673,-0.2556773998771398,-0.2530539724228742,-0.24074734131197242,41e7367e
CNNRNN16,8,r2,prediction,-0.2347156083976638,-0.24993371506220563,-0.2576252223163953,-0.23618201391166616,-0.2502477429514134,-0.24574086052786887,41e7367e
CNNLSTM16,8,r2,prediction,-0.1514386540923527,-0.1753868229875455,-0.03497969979734261,-0.09565281325147224,-0.08878875161974276,-0.10924934834969116,41e7367e
MLP16,8,r2,prediction,0.17158007148693544,0.10331758169118843,0.6538271640680351,0.37222690456895857,0.21667270802456362,0.3035248859679362,41e7367e
Linear,9,r2,prediction,0.0,0.0,0.0,0.0,0.0,0.0,41e7367e
RF10,9,r2,prediction,0.0,0.0,0.0,0.0,0.0,0.0,41e7367e
SVR-rbf,9,r2,prediction,0.0,0.0,0.0,0.0,0.0,0.0,41e7367e
SVR-linear,9,r2,prediction,0.0,0.0,0.0,0.0,0.0,0.0,41e7367e
XGB10,9,r2,prediction,0.0,0.0,0.0,0.0,0.0,0.0,41e7367e
RNN16,9,r2,prediction,0.0,0.0,0.0,0.0,0.0,0.0,41e7367e
LSTM16,9,r2,prediction,0.0,0.0,0.0,0.0,0.0,0.0,41e7367e
CNNRNN16,9,r2,prediction,0.0,0.0,0.0,0.0,0.0,0.0,41e7367e
CNNLSTM16,9,r2,prediction,0.0,0.0,0.0,0.0,0.0,0.0,41e7367e
MLP16,9,r2,prediction,0.0,0.0,0.0,0.0,0.0,0.0,41e7367e
Linear,10,r2,prediction,-0.19208066138375268,-0.19023021040602228,-0.19023021040602228,-0.23912092935718943,-0.2521613642816971,-0.21276467516693676,41e7367e
RF10,10,r2,prediction,0.20000000000000018,0.17109374999999993,0.17109374999999993,0.18947857081950903,0.271385827959606,0.20061037975582302,41e7367e
SVR-rbf,10,r2,prediction,-0.10878572302592393,-0.11571429985482085,-0.11571429985482085,-0.15935030683940954,-0.15126512167406192,-0.13016595024980743,41e7367e
SVR-linear,10,r2,prediction,-0.24884067784911923,-0.24829966720830088,-0.24829966720830088,-0.24646964325070408,-0.2469543483927905,-0.2477728007818431,41e7367e
XGB10,10,r2,prediction,0.3664576481404357,0.469084221223648,0.469084221223648,0.12926770684953626,-0.21581657287805145,0.24361544491184334,41e7367e
RNN16,10,r2,prediction,-0.2634846283614276,-0.3005857074817555,-0.25068712136628823,-0.2672681110252695,-0.28442067560478157,-0.2732892487679045,41e7367e
LSTM16,10,r2,prediction,-0.24654642824506157,-0.2341195722581022,-0.24931565100291597,-0.24887912674656554,-0.24617823950893203,-0.24500780355231547,41e7367e
CNNRNN16,10,r2,prediction,-0.24811330855411806,-0.24919698162894144,-0.25515176453371646,-0.2513645327140863,-0.25267194900427414,-0.2512997072870273,41e7367e
CNNLSTM16,10,r2,prediction,-0.24302670055317832,-0.232284703286753,-0.23731046052129456,-0.23600696097432805,-0.24303485115412493,-0.23833273529793578,41e7367e
MLP16,10,r2,prediction,-0.24998215962685166,-0.24991245501460302,-0.2500247250421923,-0.25002924121368353,-0.25003874611023846,-0.2499974654015138,41e7367e
Linear,11,r2,prediction,-0.5242042370556936,-0.5242042370556934,-0.46393466483345924,-0.4521929742730968,-0.4571745913236007,-0.48434214090830874,41e7367e
RF10,11,r2,prediction,-0.515625,-0.5156249999999998,-0.5416666666666663,-0.48454997502197794,-0.2106679488582135,-0.4536269181093715,41e7367e
