model,season,metric,stage,HWD,HWM,HWA,Average,id_data
SVR-linear,5,r2,prediction,-1.1606328446294158,-1.489167389698561,-1.5441932792578075,-1.3979978378619282,6e47cb06
XGB10,5,r2,prediction,-0.5134668718176763,-0.6698212839552902,-0.49604080355252234,-0.559776319775163,6e47cb06
RNN16,5,r2,prediction,-0.2945588741241607,-0.059849315529128644,-0.35467283060078736,-0.23636034008469223,6e47cb06
LSTM16,5,r2,prediction,-0.1759399008531355,0.13506649623570566,0.04253852572903882,0.0005550403705363305,6e47cb06
CNNRNN16,5,r2,prediction,-0.639242816667841,-0.6482389509649564,-0.544841373095917,-0.6107743802429048,6e47cb06
CNNLSTM16,5,r2,prediction,-0.2658635853647999,-0.31047863801899256,-0.3931310503911476,-0.32315775792498,6e47cb06
MLP16,5,r2,prediction,-0.4242489068824047,-0.583218781952968,-0.6334180145031547,-0.5469619011128425,6e47cb06
Linear,6,r2,prediction,-2.8865668431580493,-1.3682125989654308,-1.6155679961787186,-1.9567824794340662,6e47cb06
RF10,6,r2,prediction,-1.0782850241545896,-0.5201044660630532,-0.026746907430236222,-0.541712132549293,6e47cb06
SVR-rbf,6,r2,prediction,-0.10844038287800362,-0.4439763283215683,-0.5245776369051811,-0.35899811603491766,6e47cb06
SVR-linear,6,r2,prediction,-1.6385237729444198,-0.6802554077595713,-0.6364822000786732,-0.9850871269275547,6e47cb06
XGB10,6,r2,prediction,-1.5783497780268392,-1.1228403509271137,-1.3514140320506582,-1.3508680536682036,6e47cb06
RNN16,6,r2,prediction,-0.4732594012833198,-0.4748220472178464,-0.5508616779202089,-0.499647708807125,6e47cb06
LSTM16,6,r2,prediction,-0.6518713339460784,-0.6657135988626421,-0.9319340758004582,-0.7498396695363928,6e47cb06
CNNRNN16,6,r2,prediction,-0.7039942050300094,-0.6234275197586894,-0.6548907581893153,-0.660770827659338,6e47cb06
CNNLSTM16,6,r2,prediction,-0.5954429449478784,-0.9607848256103912,-0.6188420692511774,-0.7250232799364823,6e47cb06
MLP16,6,r2,prediction,-0.43199791920568176,-0.49425260473829025,-0.43570585995698474,-0.4539854613003189,6e47cb06
Linear,7,r2,prediction,0.24492254316843487,-1.2225690416136166,-1.0595634292508422,-0.6790699758986746,6e47cb06
RF10,7,r2,prediction,-0.944107321965898,-1.3512813229637013,-1.4153591157609742,-1.2369159202301911,6e47cb06
SVR-rbf,7,r2,prediction,-0.11819749874365315,-0.6755671315251861,-0.5202569485694244,-0.43800719294608786,6e47cb06
SVR-linear,7,r2,prediction,0.3818288620254482,-0.05447777070159465,-0.24740595090139794,0.026648380140818533,6e47cb06
XGB10,7,r2,prediction,-0.3049293909518018,-0.8878791352830235,-0.8234523259500586,-0.6720869507282946,6e47cb06
RNN16,7,r2,prediction,-0.08909366097815163,-0.2716174097111783,-0.27936458909873996,-0.21335855326268996,6e47cb06
LSTM16,7,r2,prediction,-0.4183835588846587,-0.5710610027658947,-0.35498754790598475,-0.44814403651884605,6e47cb06
CNNRNN16,7,r2,prediction,-0.05481180161969057,-0.289296403810243,-0.27130698334235426,-0.20513839625742927,6e47cb06
CNNLSTM16,7,r2,prediction,-0.8113516450432852,-0.5454271528048353,-0.630091440989264,-0.6622900796124614,6e47cb06
MLP16,7,r2,prediction,-0.3229163282344998,-0.4042397775931814,-0.578758821713389,-0.4353049758470234,6e47cb06
Linear,8,r2,prediction,-0.640200031528867,0.43965686543102045,-0.09864251259993817,-0.09972855956592823,6e47cb06
RF10,8,r2,prediction,-1.280113636363636,-0.5953135395474249,-0.3399708767870586,-0.7384660175660399,6e47cb06
SVR-rbf,8,r2,prediction,-0.9375182316624358,-0.31203276158166204,-0.4343877649344059,-0.5613129193928346,6e47cb06
SVR-linear,8,r2,prediction,-0.9134866936046309,0.44117784643453584,0.014618330931157275,-0.15256350541297925,6e47cb06
XGB10,8,r2,prediction,-1.2228940544255216,-0.12010959412999034,-0.6605394658975763,-0.6678477048176962,6e47cb06
RNN16,8,r2,prediction,-0.11215894769856138,0.24613346289502147,0.4077594291913642,0.1805779814626081,6e47cb06
LSTM16,8,r2,prediction,0.04718368824944319,0.6341994528608301,0.4566980599831135,0.37936040036446234,6e47cb06
CNNRNN16,8,r2,prediction,0.007216621422697189,0.42856127932402566,0.26163276051986495,0.23247022042219592,6e47cb06
CNNLSTM16,8,r2,prediction,-1.248395932748354,-0.03623133792792532,-0.6026488913014025,-0.6290920539925606,6e47cb06
MLP16,8,r2,prediction,-1.505253038190733,-0.7978702056861409,-0.28438050196020503,-0.8625012486123596,6e47cb06
Linear,9,r2,prediction,-1.1009904857021815,-1.2977698900608141,-1.0336967050589014,-1.1441523602739656,6e47cb06
RF10,9,r2,prediction,-0.4404793482379685,-0.7469525079556052,-0.6093303224319317,-0.5989207262085018,6e47cb06
SVR-rbf,9,r2,prediction,-0.2773564243196778,-0.43034832092136655,-0.48689703547919794,-0.3982005935734141,6e47cb06
SVR-linear,9,r2,prediction,-1.1779301344108415,-0.8000530942862314,-1.0587483884317077,-1.0122438723762601,6e47cb06
XGB10,9,r2,prediction,-0.2565093886086087,-0.5571265627796669,-0.39491396463894923,-0.40284997200907496,6e47cb06
RNN16,9,r2,prediction,-0.4619089917762518,-0.9120891220096363,-1.0165172964352358,-0.796838470073708,6e47cb06
LSTM16,9,r2,prediction,0.3842634231528549,-0.027618661040463177,-0.018183388767020192,0.1128204577817905,6e47cb06
CNNRNN16,9,r2,prediction,0.14218407545040535,-0.13756990536886393,-0.13993369522210042,-0.04510650838018634,6e47cb06
CNNLSTM16,9,r2,prediction,-0.13825081999032296,-0.5532548004979667,-0.17434995920556395,-0.2886185265646179,6e47cb06
MLP16,9,r2,prediction,-0.03731012816352264,-0.2921087979571362,-0.3686227213633275,-0.23268054916132877,6e47cb06
Linear,10,r2,prediction,0.6019080337756593,0.28772417570778464,0.30110019364089147,0.3969108010414451,6e47cb06
RF10,10,r2,prediction,-0.15496338912133867,0.11463900331794219,0.014209319674646337,-0.008705022042916713,6e47cb06
SVR-rbf,10,r2,prediction,0.32157787283220296,0.08005834060813655,0.16852900651274305,0.1900550733176942,6e47cb06
SVR-linear,10,r2,prediction,0.5631889195921815,0.37431818739832123,0.3373965232824607,0.4249678767576545,6e47cb06
XGB10,10,r2,prediction,-0.3183885442584704,-0.7401694774398928,-0.24885028191072145,-0.4358027678696949,6e47cb06
RNN16,10,r2,prediction,0.6269936220495282,0.33772517416320225,0.3499780816904349,0.43823229263438845,6e47cb06
LSTM16,10,r2,prediction,0.7287534694369191,0.5004980735657525,0.4485377038811974,0.5592630822946231,6e47cb06
CNNRNN16,10,r2,prediction,0.5558737811161614,0.27770602269469813,0.30268958328523654,0.37875646236536537,6e47cb06
CNNLSTM16,10,r2,prediction,0.25815134406776485,0.12404509733906,0.25354551440727735,0.2119139852713674,6e47cb06
MLP16,10,r2,prediction,0.3499096066820462,0.31875793021292964,0.24515770961247785,0.3046084155024846,6e47cb06
Linear,11,r2,prediction,-0.11568813257428401,-0.24092761311630495,-0.02777309242868209,-0.12812961270642367,6e47cb06
RF10,11,r2,prediction,-0.3148279158699807,-0.1713627839758931,-0.22066388782770452,-0.2356181958911928,6e47cb06
SVR-rbf,11,r2,prediction,-0.5361649645065969,-0.47569181236993496,-0.4713468342542906,-0.49440120371027413,6e47cb06
SVR-linear,11,r2,prediction,-0.07929233118174195,-0.05636382120643457,-0.08435560247824636,-0.07333725162214096,6e47cb06
XGB10,11,r2,prediction,-0.4823046829271991,-0.45634624740443996,-0.38566652716555616,-0.44143915249906507,6e47cb06
RNN16,11,r2,prediction,-0.3205774249136166,-1.0107632306034953,-0.44743869008819614,-0.5929264485351027,6e47cb06
LSTM16,11,r2,prediction,-0.2244137546571472,-0.38101621725761414,-0.14652074651466385,-0.2506502394764751,6e47cb06
CNNRNN16,11,r2,prediction,-0.2350857708166385,-0.1322463724240559,-0.1299977856962795,-0.1657766429789913,6e47cb06
CNNLSTM16,11,r2,prediction,-0.39567393260668515,-0.11606876649203035,-0.23239968578204317,-0.24804746162691957,6e47cb06
MLP16,11,r2,prediction,-0.3112687495114119,-0.4558008438075407,-0.30381814681332964,-0.3569625800440941,6e47cb06
Linear,12,r2,prediction,-73.61708903567572,-125.05500666561703,-100.41663123684938,-99.69624231271405,6e47cb06
RF10,12,r2,prediction,-41.983333333333384,-114.96635199748563,-65.5586200389243,-74.16943512324777,6e47cb06
SVR-rbf,12,r2,prediction,-9.868028030951105,-22.36692490827696,-12.941272189271071,-15.058741709499714,6e47cb06
SVR-linear,12,r2,prediction,-13.14893865328021,-25.020099845910078,-10.61468391359356,-16.26124080426128,6e47cb06
XGB10,12,r2,prediction,-28.985754023863024,-50.4891174992269,-33.04023663612322,-37.505036053071045,6e47cb06
RNN16,12,r2,prediction,-26.588112668879912,-52.944348064876316,-32.334882662184874,-37.2891144653137,6e47cb06
LSTM16,12,r2,prediction,-18.84413112748887,-15.0415108660732,-12.38961924480199,-15.425087079454686,6e47cb06
CNNRNN16,12,r2,prediction,-7.899452182375493,-15.749222173724515,-10.240100615193555,-11.29625832376452,6e47cb06
CNNLSTM16,12,r2,prediction,-10.732487276333105,-30.732126440279888,-12.322845798242577,-17.929153171618523,6e47cb06
MLP16,12,r2,prediction,-26.945362623978355,-49.042270428503166,-16.50460557047498,-30.83074620765217,6e47cb06
Linear,1,mape,prediction,1.6029000642656601,1.569602697101358,1.5608234957430476,1.5777754190366886,6e47cb06
RF10,1,mape,prediction,0.9581657567274743,0.8025763034490557,0.8219274154798974,0.8608898252188091,6e47cb06
SVR-rbf,1,mape,prediction,1.210851532439838,0.8784430154947399,0.7895391145597775,0.9596112208314519,6e47cb06
SVR-linear,1,mape,prediction,2.237301559771283,1.4089825143775594,1.222902169848155,1.6230620813323327,6e47cb06
XGB10,1,mape,prediction,1.0272328595718747,0.633662046215443,0.6009319902606226,0.7539422986826468,6e47cb06
RNN16,1,mape,prediction,1.2597612167395018,1.0370015263637893,0.7019241066260057,0.9995622832430989,6e47cb06
LSTM16,1,mape,prediction,1.310136663847238,0.8778132542836824,0.7770776485708341,0.9883425222339182,6e47cb06
CNNRNN16,1,mape,prediction,1.015844667520607,0.6867547723655907,0.8862423209306014,0.8629472536055998,6e47cb06
CNNLSTM16,1,mape,prediction,0.9613610916959987,1.0415736166311622,0.5837783974578779,0.8622377019283464,6e47cb06
MLP16,1,mape,prediction,0.9851065841188624,0.5391963659506751,0.5022871097539972,0.6755300199411782,6e47cb06
Linear,2,mape,prediction,2.9873071254137606,2.464180837851942,2.5252354929459058,2.6589078187372026,6e47cb06
RF10,2,mape,prediction,2.601859574440692,1.754786984714432,1.699175009875803,2.0186071896769753,6e47cb06
SVR-rbf,2,mape,prediction,2.129885600060826,1.3968164344753837,0.7683580154504085,1.4316866833288726,6e47cb06
SVR-linear,2,mape,prediction,0.862210714475499,1.5862912177818296,1.2959918899573475,1.248164607404892,6e47cb06
XGB10,2,mape,prediction,1.1487336252769307,1.1696665211582036,0.7622047690870265,1.0268683051740537,6e47cb06
RNN16,2,mape,prediction,0.6305969415242274,0.7349933875663514,1.0436947153243292,0.8030950148049693,6e47cb06
LSTM16,2,mape,prediction,1.671849145447106,1.050251777778733,1.2401710800002963,1.3207573344087118,6e47cb06
CNNRNN16,2,mape,prediction,1.919810377251609,1.4023510645629433,1.2083290594263776,1.5101635004136433,6e47cb06
CNNLSTM16,2,mape,prediction,2.1861283671952623,0.5760844294182217,1.5308604300468889,1.431024408886791,6e47cb06
MLP16,2,mape,prediction,0.7914415819871826,0.6307040631502507,0.8772696113989351,0.7664717521787895,6e47cb06
Linear,3,mape,prediction,12.757031964821797,2.72263777807952,2.1660146237901285,5.8818947888971485,6e47cb06
RF10,3,mape,prediction,1.0101078203229907,1.50977696442335,0.9351788390053146,1.1516878745838852,6e47cb06
SVR-rbf,3,mape,prediction,2.8203033000495195,0.9287439746662969,0.9687282227664735,1.5725918324940966,6e47cb06
SVR-linear,3,mape,prediction,1.1584546448813224,1.4998413541893265,1.3914450347804936,1.349913677950381,6e47cb06
XGB10,3,mape,prediction,0.8414972058610994,1.2812966256278426,0.906748656157301,1.0098474958820811,6e47cb06
RNN16,3,mape,prediction,2.089519692217267,0.6945833416244596,0.8658587569262668,1.2166539302559978,6e47cb06
LSTM16,3,mape,prediction,3.5453296162296453,1.0594570752126882,0.8237560607297649,1.8095142507240327,6e47cb06
CNNRNN16,3,mape,prediction,3.076319046975836,0.8005343717738332,0.8077432040706128,1.5615322076067608,6e47cb06
CNNLSTM16,3,mape,prediction,4.475874323769441,0.7695087174761316,0.9760978034375682,2.0738269482277136,6e47cb06
MLP16,3,mape,prediction,2.813465725045795,0.7487353077397854,0.8329393688572699,1.4650468005476167,6e47cb06
Linear,4,mape,prediction,1.9901086869484303,30.56299995618887,9.35534959596315,13.969486079700149,6e47cb06
RF10,4,mape,prediction,2.22890907228041,9.498350263124847,4.639161422992886,5.455473586132714,6e47cb06
SVR-rbf,4,mape,prediction,1.6507664954255703,4.668663907459193,3.076334085415993,3.131921496100252,6e47cb06
SVR-linear,4,mape,prediction,3.0441918680098508,39.924624340762286,12.123892741247257,18.364236316673132,6e47cb06
XGB10,4,mape,prediction,0.798296198284196,3.7913470928983357,2.591840234251932,2.393827841811488,6e47cb06
RNN16,4,mape,prediction,1.1265786360312267,3.3504613803791137,5.104105665687072,3.193715227365804,6e47cb06
LSTM16,4,mape,prediction,1.7485665630502865,9.853868590630622,5.057735114508473,5.553390089396461,6e47cb06
CNNRNN16,4,mape,prediction,1.8555548872595504,16.004242152638227,6.101891529538483,7.9872295231454205,6e47cb06
CNNLSTM16,4,mape,prediction,1.2971765526585821,43.26106808263293,9.57411937606269,18.044121337118067,6e47cb06
MLP16,4,mape,prediction,1.9798806420790274,6.225086781692071,4.986549249006442,4.39717222425918,6e47cb06
Linear,5,mape,prediction,1.9738791101428403,1.3274111211829258,1.277642595147986,1.5263109421579175,6e47cb06
RF10,5,mape,prediction,0.888451971347013,1.3121209558664773,1.1535344599280946,1.1180357957138616,6e47cb06
SVR-rbf,5,mape,prediction,1.2746924984682724,0.7973531493960019,0.7270494547055522,0.9330317008566089,6e47cb06
SVR-linear,5,mape,prediction,1.2700669503222901,1.3648074805811636,1.3568916577126093,1.3305886962053544,6e47cb06
XGB10,5,mape,prediction,1.4268537030181805,1.226717790922121,1.0957903789594758,1.2497872909665924,6e47cb06
RNN16,5,mape,prediction,0.6844798928268991,0.7565581445844831,0.7042379838808921,0.7150920070974248,6e47cb06
LSTM16,5,mape,prediction,0.8330324108954338,0.6738061438489122,0.5288503239746354,0.6785629595729938,6e47cb06
CNNRNN16,5,mape,prediction,0.7209806938381942,0.8994512269300552,0.8148054717288604,0.8117457974990366,6e47cb06
CNNLSTM16,5,mape,prediction,1.2851537479186657,0.6862037070190264,0.5147688002907327,0.8287087517428082,6e47cb06
MLP16,5,mape,prediction,1.1807200786415666,0.8169290254910614,1.0157697937804104,1.0044729659710128,6e47cb06
Linear,6,mape,prediction,1.9815645257284547,4.667497967148165,3.970605657117615,3.5398893833314116,6e47cb06
RF10,6,mape,prediction,1.6034490907892844,3.109468416347773,0.9130676517872744,1.8753283863081105,6e47cb06
SVR-rbf,6,mape,prediction,0.9911236320860594,1.6374271414311188,1.9157847524859324,1.5147785086677035,6e47cb06
SVR-linear,6,mape,prediction,1.7787691803392025,3.5154211116937915,2.29364963531727,2.5292799757834215,6e47cb06
XGB10,6,mape,prediction,1.7367164270802817,1.2868076859143984,1.4358367364939242,1.4864536164962014,6e47cb06
RNN16,6,mape,prediction,1.028810590751982,2.1567712100490164,1.3293462885552352,1.5049760297854113,6e47cb06
LSTM16,6,mape,prediction,1.3622439268713786,0.9885608189788708,1.1517207760927501,1.1675085073143332,6e47cb06
CNNRNN16,6,mape,prediction,1.3268762534744194,1.1902392111133233,0.9940713614781581,1.1703956086886336,6e47cb06
CNNLSTM16,6,mape,prediction,1.057074428694189,2.6559390183573415,1.5585274717629367,1.757180306271489,6e47cb06
MLP16,6,mape,prediction,1.04642299898381,1.3806374437324702,0.800504384669695,1.0758549424619919,6e47cb06
Linear,7,mape,prediction,0.5307767899312592,1.4022849435200708,1.4054647640312339,1.1128421658275214,6e47cb06
RF10,7,mape,prediction,1.2808764116749132,1.5427754815897632,1.7412077144280331,1.5216198692309033,6e47cb06
SVR-rbf,7,mape,prediction,1.0935089381853929,1.2978404000367316,1.4186957305834338,1.270015022935186,6e47cb06
SVR-linear,7,mape,prediction,0.5659719299526527,0.6903508499875433,0.6359700458720774,0.6307642752707577,6e47cb06
XGB10,7,mape,prediction,1.105843114116433,1.3186285644394935,1.3017649550510968,1.2420788778690077,6e47cb06
RNN16,7,mape,prediction,0.8672260637301339,1.0661661602179815,1.1515929229258821,1.0283283822913325,6e47cb06
LSTM16,7,mape,prediction,1.2190091117576618,1.2129889155219935,1.1822536146413567,1.204750547307004,6e47cb06
CNNRNN16,7,mape,prediction,0.9193956681355269,1.009946039548935,0.9472089823208332,0.9588502300017651,6e47cb06
CNNLSTM16,7,mape,prediction,1.1305603004841642,1.0693111940890385,1.092598780905908,1.0974900918263701,6e47cb06
MLP16,7,mape,prediction,0.9813945721667714,1.1439983987798616,1.3855589875610024,1.1703173195025451,6e47cb06
Linear,8,mape,prediction,0.8887563436408925,1.3364231139676668,1.6534199718280398,1.2928664764788664,6e47cb06
RF10,8,mape,prediction,1.1275380264992223,2.2765908996185233,1.1934663229319031,1.5325317496832163,6e47cb06
SVR-rbf,8,mape,prediction,1.7650369012738794,2.4192345350081177,2.763983635966576,2.3160850240828577,6e47cb06
SVR-linear,8,mape,prediction,1.755470514768475,1.6707163389470672,2.409144036701359,1.9451102968056337,6e47cb06
XGB10,8,mape,prediction,1.1274213502300634,2.039890909743837,2.0269427885777573,1.731418349517219,6e47cb06
RNN16,8,mape,prediction,1.136205332248256,1.3147757964685833,1.1465464081780872,1.1991758456316421,6e47cb06
LSTM16,8,mape,prediction,1.1763343607346473,1.2311416370678816,2.3290788261838618,1.5788516079954633,6e47cb06
CNNRNN16,8,mape,prediction,1.7779704087620203,0.764639026457757,1.1243940027349981,1.2223344793182584,6e47cb06
CNNLSTM16,8,mape,prediction,1.646190474965882,0.9595068391741991,1.9932797068727397,1.5329923403376071,6e47cb06
MLP16,8,mape,prediction,1.03971506040568,2.0067449482059367,1.7535694497637717,1.6000098194584629,6e47cb06
Linear,9,mape,prediction,1.6444430462572428,27.53365842325586,6.83784284814576,12.005314772552955,6e47cb06
RF10,9,mape,prediction,1.2419087163727494,17.93015431728201,2.5409600195874624,7.237674351080741,6e47cb06
SVR-rbf,9,mape,prediction,1.2716727173955653,5.315663188547355,1.689495924594862,2.758943943512594,6e47cb06
SVR-linear,9,mape,prediction,1.6103363856802464,21.01214414587825,5.800626892282404,9.474369141280299,6e47cb06
XGB10,9,mape,prediction,1.5258979876591474,3.4791209892594126,1.8891730208326964,2.298063999250419,6e47cb06
RNN16,9,mape,prediction,1.4324001680814873,7.505972300076797,3.005185604534705,3.981186024230997,6e47cb06
LSTM16,9,mape,prediction,0.7977271916899878,12.889918263575975,2.6829864776746932,5.456877310980219,6e47cb06
CNNRNN16,9,mape,prediction,1.535752278458532,24.5657446710889,4.903090018755728,10.33486232276772,6e47cb06
CNNLSTM16,9,mape,prediction,1.2689081834001925,19.24603362377423,2.9501559631774716,7.821699256783965,6e47cb06
MLP16,9,mape,prediction,0.9747552283549705,16.281355264686294,2.529278131540687,6.595129541527316,6e47cb06
Linear,10,mape,prediction,1.2545839262611918,0.8456887205712256,0.7938805525084268,0.9647177331136146,6e47cb06
RF10,10,mape,prediction,0.9916304715600328,0.8350360583725871,0.7466551933289625,0.8577739077538608,6e47cb06
SVR-rbf,10,mape,prediction,0.7502410546567599,0.8294255491530136,0.8081113322406906,0.795925978683488,6e47cb06
SVR-linear,10,mape,prediction,1.4787732854287452,0.8976106360226709,0.8507469564885974,1.0757102926466713,6e47cb06
XGB10,10,mape,prediction,1.1201561758819207,1.1975603834075146,1.0268137261057828,1.1148434284650726,6e47cb06
RNN16,10,mape,prediction,0.6267024434506765,0.7937870429387216,0.9532075285518303,0.7912323383137427,6e47cb06
LSTM16,10,mape,prediction,0.6683565112327365,0.7293405586615386,0.6917185191786217,0.696471863024299,6e47cb06
CNNRNN16,10,mape,prediction,0.5952587079965503,0.876609979465157,0.9739172376316201,0.8152619750311091,6e47cb06
CNNLSTM16,10,mape,prediction,1.1012925337167407,0.8026835150975355,0.721605474789561,0.8751938412012791,6e47cb06
MLP16,10,mape,prediction,0.493378266376099,0.8042503582968166,0.7674625145892457,0.6883637130873872,6e47cb06
Linear,11,mape,prediction,0.6976323386422102,1.1866435350514701,0.8612914566966197,0.9151891101301,6e47cb06
RF10,11,mape,prediction,1.3388952142719677,1.6706504290254984,1.1800525839437148,1.3965327424137268,6e47cb06
SVR-rbf,11,mape,prediction,1.1207205489138583,1.2318294677694994,1.212013962715171,1.188187993132843,6e47cb06
SVR-linear,11,mape,prediction,0.7459500629302107,0.6661703020613016,0.7608592502522822,0.7243265384145982,6e47cb06
XGB10,11,mape,prediction,1.5497531520008925,1.4461144310403862,1.202226863247228,1.3993648154295022,6e47cb06
RNN16,11,mape,prediction,1.7256583421684701,2.042677165508437,1.428872417752973,1.73240264180996,6e47cb06
LSTM16,11,mape,prediction,1.4091240936543286,1.4841310845412037,1.1541103025703152,1.3491218269219492,6e47cb06
CNNRNN16,11,mape,prediction,1.2002885904981444,1.325249198307095,1.1415474461901254,1.222361744998455,6e47cb06
CNNLSTM16,11,mape,prediction,1.0531606300160548,0.9779612267744818,1.1062620800971612,1.0457946456292326,6e47cb06
MLP16,11,mape,prediction,1.184381526012423,1.3508347255326973,1.079383492328506,1.2048665812912087,6e47cb06
Linear,12,mape,prediction,2.6654941947747814,2.2992748410614126,2.49148520842666,2.4854180814209514,6e47cb06
RF10,12,mape,prediction,1.3965598829173103,2.029195016403462,1.8508125640397743,1.7588558211201821,6e47cb06
SVR-rbf,12,mape,prediction,0.701483755675037,0.8172234384787742,0.7031144607443089,0.7406072182993734,6e47cb06
SVR-linear,12,mape,prediction,0.7069255058174488,1.0080250375777386,0.7859985925465438,0.833649711980577,6e47cb06
XGB10,12,mape,prediction,1.657103388855686,1.1689697907466425,1.125901123869741,1.3173247678240232,6e47cb06
RNN16,12,mape,prediction,1.0455772077978405,1.1546229481538555,1.1166348469749166,1.105611667642204,6e47cb06
