model,season,metric,stage,HWN,HWF,Average,id_data
Linear,3,mape,prediction,2.1292086444795353,7.515440035021951,4.822324339750743,6e47cb06
RF10,3,mape,prediction,1.540345377294218,3.383268885670195,2.4618071314822068,6e47cb06
SVR-rbf,3,mape,prediction,1.0178783813289072,2.6030249842788704,1.8104516828038888,6e47cb06
SVR-linear,3,mape,prediction,1.361129043214369,1.8396875244940047,1.6004082838541869,6e47cb06
XGB10,3,mape,prediction,1.2058915558858205,2.992910115108205,2.0994008354970126,6e47cb06
RNN16,3,mape,prediction,0.7657969119007401,3.2029421028833136,1.9843695073920269,6e47cb06
LSTM16,3,mape,prediction,1.3748555856537659,3.257750771784964,2.316303178719365,6e47cb06
CNNRNN16,3,mape,prediction,0.9454544533068685,1.7857370490624855,1.365595751184677,6e47cb06
CNNLSTM16,3,mape,prediction,1.0594242607295197,2.0686109898822,1.5640176253058597,6e47cb06
MLP16,3,mape,prediction,0.8265246363219868,2.4251462208339016,1.6258354285779442,6e47cb06
Linear,4,mape,prediction,7.544878909146368,4.575516833789301,6.060197871467834,6e47cb06
RF10,4,mape,prediction,5.791354468106339,4.342781532172252,5.067068000139296,6e47cb06
SVR-rbf,4,mape,prediction,4.323475448013747,3.0894166144770545,3.7064460312454006,6e47cb06
SVR-linear,4,mape,prediction,9.835147368546233,7.094294696193164,8.464721032369699,6e47cb06
XGB10,4,mape,prediction,5.041754651561037,3.073315154119317,4.057534902840177,6e47cb06
RNN16,4,mape,prediction,4.669010497240672,3.0930464324239275,3.8810284648322995,6e47cb06
LSTM16,4,mape,prediction,5.4561151795681075,3.6865450974670906,4.571330138517599,6e47cb06
CNNRNN16,4,mape,prediction,3.486186823662224,2.556283721062384,3.021235272362304,6e47cb06
CNNLSTM16,4,mape,prediction,6.35964115265212,3.664392683807621,5.012016918229871,6e47cb06
MLP16,4,mape,prediction,2.8517658103505057,2.1838577711946954,2.5178117907726003,6e47cb06
Linear,5,mape,prediction,4.444730281387139,1.870182677059708,3.1574564792234234,6e47cb06
RF10,5,mape,prediction,3.4108614820633485,0.8342093723677773,2.122535427215563,6e47cb06
SVR-rbf,5,mape,prediction,2.5455528959125475,1.112057591290614,1.8288052436015807,6e47cb06
SVR-linear,5,mape,prediction,3.2151297726989205,1.2249227502666928,2.220026261482807,6e47cb06
XGB10,5,mape,prediction,6.055016087094693,1.2290783883164056,3.6420472377055493,6e47cb06
RNN16,5,mape,prediction,0.6592743149874088,0.98671470120798,0.8229945080976944,6e47cb06
LSTM16,5,mape,prediction,1.067149074703567,0.6433916210869273,0.8552703478952471,6e47cb06
CNNRNN16,5,mape,prediction,2.2831228818810287,0.8952618186040823,1.5891923502425556,6e47cb06
CNNLSTM16,5,mape,prediction,8.594837817098098,0.8315070476003065,4.713172432349202,6e47cb06
MLP16,5,mape,prediction,3.2136759546288416,1.1759044241033147,2.194790189366078,6e47cb06
Linear,6,mape,prediction,3.773227309263406,2.4495047006526827,3.111366004958044,6e47cb06
RF10,6,mape,prediction,2.663361940243015,1.683846992178879,2.1736044662109473,6e47cb06
SVR-rbf,6,mape,prediction,1.6390676376678386,1.2884519956688558,1.4637598166683472,6e47cb06
SVR-linear,6,mape,prediction,4.551035926686631,2.0829504918858914,3.3169932092862613,6e47cb06
XGB10,6,mape,prediction,2.0028072549056195,1.8978590187885516,1.9503331368470855,6e47cb06
RNN16,6,mape,prediction,1.3369349029616822,1.6187196947971145,1.4778272988793983,6e47cb06
LSTM16,6,mape,prediction,0.9994958181978042,1.6740510499247367,1.3367734340612705,6e47cb06
CNNRNN16,6,mape,prediction,0.9142610957470435,1.234708278747832,1.0744846872474378,6e47cb06
CNNLSTM16,6,mape,prediction,1.8338084849497502,1.5787616496899208,1.7062850673198355,6e47cb06
MLP16,6,mape,prediction,0.9949821536615036,1.9254115217745826,1.4601968377180432,6e47cb06
Linear,7,mape,prediction,0.6575724874490783,0.5923655128573434,0.6249690001532109,6e47cb06
RF10,7,mape,prediction,1.3266190779395353,1.0566535681004303,1.1916363230199827,6e47cb06
SVR-rbf,7,mape,prediction,1.12781660525889,1.101768190840224,1.1147923980495569,6e47cb06
SVR-linear,7,mape,prediction,0.5607489300833733,0.8303046414509152,0.6955267857671443,6e47cb06
XGB10,7,mape,prediction,1.228009721971448,1.1900446910310323,1.2090272065012402,6e47cb06
RNN16,7,mape,prediction,0.7755357058742178,0.9151519277486045,0.8453438168114111,6e47cb06
LSTM16,7,mape,prediction,0.7574586414002435,0.6872856395311869,0.7223721404657153,6e47cb06
CNNRNN16,7,mape,prediction,0.8963739881601496,0.8945398572699886,0.895456922715069,6e47cb06
CNNLSTM16,7,mape,prediction,0.906705917823581,1.0866959332251844,0.9967009255243827,6e47cb06
MLP16,7,mape,prediction,0.816870707609682,0.6730613898316629,0.7449660487206724,6e47cb06
Linear,8,mape,prediction,3.2380779915157687,1.4856975249661404,2.3618877582409548,6e47cb06
RF10,8,mape,prediction,1.2375588275767169,0.8715066467293807,1.0545327371530488,6e47cb06
SVR-rbf,8,mape,prediction,2.00402419487046,1.2135040943531172,1.6087641446117886,6e47cb06
SVR-linear,8,mape,prediction,1.6770111790975217,1.4768224202589102,1.5769167996782159,6e47cb06
XGB10,8,mape,prediction,1.694797464942927,1.103948618072829,1.399373041507878,6e47cb06
RNN16,8,mape,prediction,1.618674801161244,1.0885570552488133,1.3536159282050286,6e47cb06
LSTM16,8,mape,prediction,1.482799913864445,1.1060768878141904,1.2944384008393177,6e47cb06
CNNRNN16,8,mape,prediction,1.259192318838633,1.0074412704453635,1.1333167946419982,6e47cb06
CNNLSTM16,8,mape,prediction,1.366509523198363,0.771439880052661,1.068974701625512,6e47cb06
MLP16,8,mape,prediction,0.9725443899861658,0.7073296248661964,0.8399370074261812,6e47cb06
Linear,9,mape,prediction,3.007523106559696,2.5817334677878634,2.7946282871737798,6e47cb06
RF10,9,mape,prediction,1.8261057041572673,2.8712292995220174,2.3486675018396426,6e47cb06
SVR-rbf,9,mape,prediction,1.6002073152487846,1.9924081948704386,1.7963077550596116,6e47cb06
SVR-linear,9,mape,prediction,3.5020443289183114,3.711106272337067,3.6065753006276893,6e47cb06
XGB10,9,mape,prediction,1.664704705651242,1.9215891084323178,1.79314690704178,6e47cb06
RNN16,9,mape,prediction,1.7517208733780705,1.2502269085942097,1.50097389098614,6e47cb06
LSTM16,9,mape,prediction,2.066818736208744,2.9620098373262955,2.5144142867675194,6e47cb06
CNNRNN16,9,mape,prediction,1.5435992049849083,1.8019873023302455,1.672793253657577,6e47cb06
CNNLSTM16,9,mape,prediction,2.519020935455668,0.6511433760704246,1.5850821557630463,6e47cb06
MLP16,9,mape,prediction,1.8928171339019173,1.2523867177679333,1.5726019258349253,6e47cb06
Linear,10,mape,prediction,1.2690593066157956,0.9851829698177884,1.127121138216792,6e47cb06
RF10,10,mape,prediction,0.9388064075459424,0.8267618818681995,0.882784144707071,6e47cb06
SVR-rbf,10,mape,prediction,0.9083592599653615,0.669259079783922,0.7888091698746418,6e47cb06
SVR-linear,10,mape,prediction,1.015585364672185,1.1853919610411305,1.100488662856658,6e47cb06
XGB10,10,mape,prediction,1.081016918731473,0.7099750404549713,0.8954959795932222,6e47cb06
RNN16,10,mape,prediction,0.3588961237796695,0.7538448045018432,0.5563704641407563,6e47cb06
LSTM16,10,mape,prediction,0.5787593796948252,0.45536683653756277,0.5170631081161939,6e47cb06
CNNRNN16,10,mape,prediction,0.5310095549011731,0.8044005242576093,0.6677050395793912,6e47cb06
CNNLSTM16,10,mape,prediction,0.9149839026704714,1.0121258504080572,0.9635548765392643,6e47cb06
MLP16,10,mape,prediction,0.6545545320534203,0.7721234696591387,0.7133390008562794,6e47cb06
Linear,11,mape,prediction,0.896165268079294,0.7178652110178497,0.8070152395485719,6e47cb06
RF10,11,mape,prediction,1.647004138905713,0.9120000000000001,1.2795020694528567,6e47cb06
SVR-rbf,11,mape,prediction,1.486683090360243,1.1909242867506518,1.3388036885554473,6e47cb06
SVR-linear,11,mape,prediction,0.7358917628247599,0.709826103909938,0.722858933367349,6e47cb06
XGB10,11,mape,prediction,1.8099653319487068,1.3427735554950204,1.5763694437218636,6e47cb06
RNN16,11,mape,prediction,1.8074112853452895,1.2109900246323835,1.5092006549888364,6e47cb06
LSTM16,11,mape,prediction,2.1347897267126243,1.4561789094063982,1.7954843180595113,6e47cb06
CNNRNN16,11,mape,prediction,1.7541987662296143,1.3814082983393718,1.567803532284493,6e47cb06
CNNLSTM16,11,mape,prediction,1.6659268757839603,1.3594595244346104,1.5126932001092852,6e47cb06
MLP16,11,mape,prediction,1.0584818865467436,1.2631491357896016,1.1608155111681726,6e47cb06
Linear,12,mape,prediction,2.75491833207493,2.5956589815939886,2.6752886568344594,6e47cb06
RF10,12,mape,prediction,1.7147826086956524,1.1979053465890868,1.4563439776423697,6e47cb06
SVR-rbf,12,mape,prediction,0.7804982626411835,0.866718153118471,0.8236082078798272,6e47cb06
SVR-linear,12,mape,prediction,1.2131267134154737,1.22346140193438,1.2182940576749268,6e47cb06
XGB10,12,mape,prediction,0.9787547715088298,1.43455366254488,1.206654217026855,6e47cb06
RNN16,12,mape,prediction,0.8315394188335059,0.6538138333219659,0.7426766260777359,6e47cb06
LSTM16,12,mape,prediction,1.3899971364297194,1.338031580597665,1.3640143585136921,6e47cb06
CNNRNN16,12,mape,prediction,0.45677326963835324,0.49235076084731233,0.4745620152428328,6e47cb06
CNNLSTM16,12,mape,prediction,0.6542056560178543,0.9285509494357409,0.7913783027267975,6e47cb06
MLP16,12,mape,prediction,0.591411908325148,0.6093011759744882,0.600356542149818,6e47cb06
Linear,1,mae,prediction,1.1442215679838257,1.2774325657012748,1.2108270668425503,6e47cb06
RF10,1,mae,prediction,0.6595454577234909,0.9752940460941121,0.8174197519088016,6e47cb06
SVR-rbf,1,mae,prediction,0.6180012649117284,1.0254227326887275,0.8217119988002279,6e47cb06
SVR-linear,1,mae,prediction,0.9229855792142609,1.2806438945468333,1.101814736880547,6e47cb06
XGB10,1,mae,prediction,0.8362695379308966,1.1180625476048414,0.977166042767869,6e47cb06
RNN16,1,mae,prediction,0.8516740003795065,1.1475414939330046,0.9996077471562556,6e47cb06
LSTM16,1,mae,prediction,0.6670381615132726,1.035383758704466,0.8512109601088693,6e47cb06
CNNRNN16,1,mae,prediction,0.711154293657479,1.0583049598092873,0.8847296267333831,6e47cb06
CNNLSTM16,1,mae,prediction,0.7788272489022585,1.1318324096606198,0.9553298292814392,6e47cb06
MLP16,1,mae,prediction,0.7324713234018656,1.1458457373187962,0.9391585303603309,6e47cb06
Linear,2,mae,prediction,0.9225167603170463,0.5502177814372947,0.7363672708771705,6e47cb06
RF10,2,mae,prediction,1.1304425779992604,0.7853473151553741,0.9578949465773172,6e47cb06
SVR-rbf,2,mae,prediction,0.784634429098676,0.6475904127569667,0.7161124209278213,6e47cb06
SVR-linear,2,mae,prediction,1.0008606746262636,0.6824204542407905,0.841640564433527,6e47cb06
XGB10,2,mae,prediction,0.7647889172750373,0.6887249016568919,0.7267569094659646,6e47cb06
RNN16,2,mae,prediction,0.4638581549840827,0.5140146039294923,0.4889363794567875,6e47cb06
LSTM16,2,mae,prediction,0.9396360443909595,0.7196154907454322,0.8296257675681958,6e47cb06
CNNRNN16,2,mae,prediction,1.05567443985538,0.7598803767369052,0.9077774082961425,6e47cb06
CNNLSTM16,2,mae,prediction,0.8659293377951475,0.625154478089782,0.7455419079424648,6e47cb06
MLP16,2,mae,prediction,1.2397863732655474,0.6254203543175528,0.9326033637915501,6e47cb06
Linear,3,mae,prediction,1.1053215749821144,1.2246909269840203,1.1650062509830672,6e47cb06
RF10,3,mae,prediction,0.9862659606614971,0.6853369065391927,0.8358014336003449,6e47cb06
SVR-rbf,3,mae,prediction,0.5711972400773491,0.3988706531213058,0.4850339465993274,6e47cb06
SVR-linear,3,mae,prediction,0.6711413028931361,0.46483115598852925,0.5679862294408327,6e47cb06
XGB10,3,mae,prediction,0.8128569997681389,0.5965289250772122,0.7046929624226755,6e47cb06
RNN16,3,mae,prediction,0.4240623548461208,0.4710395176218033,0.447550936233962,6e47cb06
LSTM16,3,mae,prediction,0.6112380015295298,0.44608495289055383,0.5286614772100418,6e47cb06
CNNRNN16,3,mae,prediction,0.5009883599918634,0.36870973461834466,0.43484904730510404,6e47cb06
CNNLSTM16,3,mae,prediction,0.5073141763549597,0.4606301879283575,0.4839721821416586,6e47cb06
MLP16,3,mae,prediction,0.4325399058502466,0.3145490342524437,0.37354447005134517,6e47cb06
Linear,4,mae,prediction,0.7456690364489992,0.8618769462393285,0.8037729913441638,6e47cb06
RF10,4,mae,prediction,0.44275151759564924,0.5402670424613486,0.4915092800284989,6e47cb06
SVR-rbf,4,mae,prediction,0.4133863409848758,0.37996548958177173,0.3966759152833238,6e47cb06
SVR-linear,4,mae,prediction,1.0342797979648393,0.9959560671786797,1.0151179325717594,6e47cb06
XGB10,4,mae,prediction,0.3819598701985276,0.3556961369268664,0.368828003562697,6e47cb06
RNN16,4,mae,prediction,0.27136358139445954,0.4088814301791193,0.34012250578678943,6e47cb06
LSTM16,4,mae,prediction,0.44540856597354583,0.4166915465645561,0.43105005626905096,6e47cb06
CNNRNN16,4,mae,prediction,0.4735361305268205,0.4091561337633385,0.44134613214507945,6e47cb06
CNNLSTM16,4,mae,prediction,0.40103258911685113,0.522433706050373,0.46173314758361206,6e47cb06
MLP16,4,mae,prediction,0.4561421823890603,0.5393479008726845,0.4977450416308724,6e47cb06
Linear,5,mae,prediction,1.46116578602687,1.461550458764393,1.4613581223956316,6e47cb06
