model,season,index,best_value,top_n,var_thresh
RF10,10,HWF,0.4220166443753893,5,0.1
SVR-rbf,10,HWM,0.577023028616374,30,
SVR-rbf,10,HWM,0.5641735337738147,30,0.05
RF10,10,HWN,0.4284332531377571,15,0.05
RF10,10,HWN,0.4033775731875811,15,
SVR-rbf,11,Average,-0.3954305671645616,10,0.1
SVR-rbf,11,Average,-0.4660282026273304,5,
RF5,11,HWA,0.3565456824514522,10,
RF5,11,HWA,0.3565456824514522,10,0.05
SVR-rbf,11,HWD,0.4485440861743122,15,0.15
SVR-rbf,11,HWD,0.4115991439133777,10,0.15
RF5,11,HWF,0.4058799322342621,20,
RF5,11,HWF,0.4058799322342621,20,0.05
XGB15,11,HWM,0.4400475836486794,5,
XGB15,11,HWM,0.4400475836486794,5,0.05
SVR-rbf,11,HWN,-1.6063759317451702,10,0.1
XGB15,11,HWN,-1.7257295670198567,10,0.1
XGB10,12,Average,-0.2540086919439221,5,
XGB10,12,Average,-0.2540086919439221,5,0.05
GPR,12,HWA,0.3528394505995296,30,
GPR,12,HWA,0.3528394505995296,30,0.05
GPR,12,HWD,0.7167946183436964,30,
GPR,12,HWD,0.7167946183436964,30,0.05
RF10,12,HWF,0.2032065549281686,5,
RF10,12,HWF,0.2032065549281686,5,0.05
SVR-rbf,12,HWM,0.7340531711303941,30,0.15
SVR-rbf,12,HWM,0.7148828158799206,30,
RF5,12,HWN,-0.5350157424355487,10,
RF5,12,HWN,-0.5350157424355487,10,0.05
