model,season,index,best_value,top_n,var_thresh,extra_indices,only_sea
XGB10,9,HWF,-0.2617984544928422,30,,,False
XGB10,9,HWF,-0.2617984544928422,30,0.05,,False
XGB10,9,HWM,-0.4235338222629029,30,,,False
XGB10,9,HWM,-0.4235338222629029,30,0.05,,False
XGB15,9,HWN,-0.1724396508430546,15,,,True
XGB15,9,HWN,-0.1724396508430546,15,0.05,,True
GPR,10,Average,-0.043723409608391,15,,,True
GPR,10,Average,-0.043723409608391,15,0.05,,True
GPR,10,HWA,0.01166779675623,10,0.1,,True
GPR,10,HWA,0.0112650739524772,15,,,True
XGB15,10,HWD,0.0099389134643864,5,,,True
XGB15,10,HWD,0.0099389134643864,5,0.05,,True
XGB10,10,HWF,0.1233649637739386,10,,PDO-ONI-SAM,True
XGB10,10,HWF,0.1233649637739386,10,0.05,PDO-ONI-SAM,True
XGB10,10,HWM,-0.0500176850715135,5,,,True
XGB10,10,HWM,-0.0500176850715135,5,0.05,,True
RF10,10,HWN,0.2443853224439672,20,0.1,,True
RF10,10,HWN,0.2062486525050794,15,0.1,PDO-ONI-SAM,True
SVR-rbf,11,Average,-0.986249248390432,30,0.1,,False
SVR-rbf,11,Average,-1.0349752922447095,30,0.15,,False
SVR-rbf,11,HWA,-0.0146106826229822,30,0.05,,False
SVR-rbf,11,HWA,-0.0282156457538348,30,0.1,,False
SVR-rbf,11,HWD,-1.4710196907681117,5,,,False
SVR-rbf,11,HWD,-1.4710196907681117,5,0.05,,False
SVR-rbf,11,HWF,-1.4876598473004692,5,,,False
SVR-rbf,11,HWF,-1.4876598473004692,5,0.05,,False
GPR,11,HWM,-0.1422884948255523,30,0.1,,False
SVR-rbf,11,HWM,-0.1447880283806616,20,0.1,,False
RF5,11,HWN,-0.8198595399976508,5,,PDO-ONI-SAM,False
RF5,11,HWN,-0.8198595399976508,5,0.05,PDO-ONI-SAM,False
Linear,12,Average,-0.2655496692273681,5,0.15,PDO-ONI-SAM,False
Linear,12,Average,-0.3100842466629383,5,0.15,,False
Linear,12,HWA,-0.6745423030850376,5,0.15,PDO-ONI-SAM,False
Linear,12,HWA,-0.7452891518841548,5,0.15,PDO-ONI-SAM,False
Linear,12,HWD,-0.0018066010712211,5,0.15,PDO-ONI-SAM,False
Linear,12,HWD,-0.0547971607246014,5,0.15,PDO-ONI-SAM,False
Linear,12,HWF,0.1634605374178718,5,0.15,,False
SVR-rbf,12,HWF,0.1583516987860386,5,0.15,,False
Linear,12,HWM,-0.7996711000568332,5,0.15,PDO-ONI-SAM,False
SVR-rbf,12,HWM,-0.8962048181768711,5,,PDO-ONI-SAM,True
Linear,12,HWN,0.0929722491936969,5,0.15,,False
Linear,12,HWN,0.0856109240430702,5,0.15,PDO-ONI-SAM,False
