1914    -0.701    -0.453    -0.663    -0.679    -0.662    -0.154    -0.263    -0.474    -0.693    -0.538    -0.673    -0.890
1915    -0.906    -0.842    -0.658    -0.435    -0.618    -0.304    -0.655    -0.694    -0.469    -0.642    -0.612    -0.614
1916    -0.873    -0.759    -0.671    -0.523    -0.769    -0.778    -0.951    -0.938    -1.090    -1.176    -1.383    -1.044
1917    -0.988    -0.900    -1.132    -0.968    -1.136    -0.926    -0.825    -0.639    -0.762    -1.184    -1.326    -1.383
1918    -1.149    -1.161    -1.020    -1.140    -1.124    -0.948    -0.751    -0.826    -0.608    -0.416    -0.285    -0.529
1919    -0.333    -0.369    -0.578    -0.636    -0.542    -0.552    -0.584    -0.666    -0.534    -0.832    -1.110    -1.014
1920    -0.609    -0.607    -0.512    -0.615    -0.490    -0.826    -1.197    -0.861    -0.878    -1.001    -1.006    -1.004
1921    -0.959    -0.859    -0.877    -0.727    -0.905    -0.938    -0.911    -1.196    -1.014    -0.773    -0.976    -0.714
1922    -0.855    -0.651    -0.689    -1.002    -0.987    -0.686    -0.953    -0.806    -1.021    -0.863    -0.888    -1.050
1923    -1.004    -1.000    -0.832    -0.733    -0.752    -0.750    -0.930    -0.839    -0.768    -0.555    -0.379    -0.689
1924    -0.687    -0.599    -0.538    -0.552    -0.834    -0.768    -0.748    -0.866    -0.829    -0.795    -1.092    -0.990
1925    -1.123    -1.005    -0.842    -0.631    -0.817    -0.806    -0.690    -0.748    -0.488    -0.593    -0.453    -0.619
1926    -0.476    -0.630    -0.378    -0.559    -0.511    -0.470    -0.394    -0.538    -0.681    -0.526    -0.863    -0.831
1927    -0.888    -0.332    -0.778    -0.882    -0.936    -0.823    -0.800    -0.952    -0.892    -0.870    -0.824    -0.837
1928    -0.607    -0.507    -0.644    -0.888    -0.783    -0.799    -0.933    -0.912    -0.801    -0.948    -0.587    -0.729
1929    -0.787    -0.871    -0.802    -0.638    -1.004    -0.950    -1.021    -0.993    -0.757    -0.774    -0.736    -0.433
1930    -0.698    -0.719    -0.545    -0.419    -0.862    -0.844    -0.870    -0.778    -0.896    -0.660    -0.355    -0.507
1931    -0.252    -0.097    -0.348    -0.394    -0.297    -0.335    -0.329    -0.614    -0.880    -0.765    -0.496    -0.995
1932    -0.829    -0.958    -0.732    -0.717    -0.710    -0.781    -0.688    -0.703    -0.819    -0.909    -0.856    -0.757
1933    -0.500    -0.503    -0.602    -0.569    -0.666    -0.746    -0.680    -0.794    -1.183    -1.081    -1.020    -0.946
1934    -1.233    -1.194    -1.210    -0.940    -1.094    -0.722    -0.787    -0.608    -0.724    -0.832    -0.664    -0.480
1935    -0.575    -0.360    -0.650    -0.560    -0.646    -0.638    -0.775    -0.757    -0.775    -0.836    -0.622    -0.571
1936    -0.451    -0.474    -0.508    -0.565    -0.737    -0.580    -0.560    -0.504    -0.369    -0.742    -0.531    -0.433
1937    -0.511    -0.201    -0.392    -0.551    -0.486    -0.537    -0.651    -0.543    -0.361    -0.526    -0.381    -0.670
1938    -0.444    -0.430    -0.345    -0.627    -0.445    -0.524    -0.665    -0.546    -0.637    -0.730    -0.867    -0.797
1939    -0.831    -0.510    -0.726    -0.772    -0.886    -0.692    -0.675    -0.805    -0.758    -0.790    -0.506    -0.524
1940    -0.484    -0.572    -0.572    -0.719    -0.748    -0.510    -0.474    -0.727    -0.559    -0.474    -0.372    -0.369
1941    -0.267    -0.276    -0.163    -0.138    -0.347    -0.335    -0.184    -0.201    -0.382    -0.283     0.024    -0.061
1942    -0.318    -0.427    -0.186    -0.471    -0.607    -0.799    -0.864    -0.757    -0.776    -0.893    -0.892    -0.969
1943    -1.013    -0.762    -0.861    -0.844    -0.604    -0.623    -0.589    -0.546    -0.609    -0.656    -0.510    -0.626
1944    -0.512    -0.448    -0.502    -0.645    -0.417    -0.462    -0.332    -0.384    -0.225    -0.687    -0.561    -0.096
1945    -0.114     0.052    -0.495    -0.851    -0.979    -0.794    -0.385    -0.521    -0.789    -0.834    -0.762    -0.559
1946    -0.579    -0.471    -0.556    -0.576    -0.487    -0.823    -0.762    -0.733    -0.742    -0.600    -0.760    -0.947
1947    -0.642    -0.620    -0.662    -1.043    -0.689    -0.720    -1.025    -0.891    -1.143    -1.271    -1.052    -1.128
1948    -1.025    -0.739    -0.536    -0.656    -0.769    -0.617    -0.682    -0.758    -1.035    -0.747    -0.966    -0.718
1949    -0.774    -0.637    -0.789    -0.720    -0.869    -0.776    -0.594    -0.747    -0.669    -0.716    -0.814    -0.849
1950    -0.749    -0.915    -0.823    -0.982    -0.878    -0.969    -0.913    -0.964    -1.043    -0.978    -1.048    -0.983
1951    -0.932    -0.842    -0.693    -1.081    -0.873    -0.656    -0.691    -0.551    -0.365    -0.502    -0.426    -0.397
1952    -0.548    -0.384    -0.460    -0.443    -0.585    -0.531    -0.763    -0.818    -0.796    -0.918    -0.747    -0.614
1953    -0.482    -0.510    -0.354    -0.489    -0.365    -0.500    -0.715    -0.828    -0.809    -0.728    -0.486    -0.283
1954    -0.578    -0.484    -0.542    -0.529    -0.708    -0.842    -1.231    -1.110    -1.145    -1.322    -1.019    -0.983
1955    -0.612    -0.878    -0.755    -0.809    -1.025    -1.116    -0.978    -0.787    -0.827    -1.025    -0.898    -0.798
1956    -0.731    -0.779    -0.690    -0.712    -1.038    -1.091    -1.147    -0.974    -0.991    -0.876    -0.901    -0.725
1957    -0.700    -0.693    -0.574    -0.578    -0.356    -0.687    -0.683    -0.557    -0.764    -0.779    -0.532    -0.581
1958    -0.312    -0.258    -0.467    -0.496    -0.623    -0.817    -0.625    -0.652    -0.767    -0.715    -0.660    -0.481
1959    -0.219    -0.260    -0.446    -0.525    -0.645    -0.824    -0.880    -0.957    -0.903    -0.705    -0.629    -0.498
1960    -0.567    -0.508    -0.497    -0.551    -0.569    -0.725    -0.772    -0.849    -0.658    -0.888    -0.915    -0.675
1961    -0.686    -0.601    -0.555    -0.545    -0.766    -0.632    -0.388    -0.396    -0.419    -0.392    -0.506    -0.375
1962    -0.458    -0.510    -0.350    -0.488    -0.726    -0.837    -0.764    -0.557    -0.579    -0.632    -0.569    -0.449
1963    -0.508    -0.512    -0.602    -0.635    -0.796    -0.750    -0.519    -0.522    -0.623    -0.356    -0.267    -0.369
1964    -0.242    -0.321    -0.328    -0.385    -0.841    -0.713    -1.060    -1.132    -1.113    -1.070    -1.041    -0.944
1965    -0.945    -0.779    -0.910    -0.823    -1.039    -1.019    -0.947    -0.773    -0.611    -0.615    -0.639    -0.600
1966    -0.548    -0.176    -0.451    -0.647    -0.809    -0.615    -0.550    -0.608    -0.432    -0.629    -0.639    -0.735
1967    -1.013    -0.948    -0.600    -0.669    -0.558    -0.589    -0.843    -0.755    -0.712    -0.458    -0.485    -0.558
1968    -0.648    -0.492    -0.579    -0.515    -0.553    -0.311    -0.654    -0.553    -0.568    -0.601    -0.589    -0.396
1969    -0.162    -0.121     0.045    -0.060    -0.202    -0.665    -0.558    -0.593    -0.438    -0.265    -0.283    -0.203
1970     0.085    -0.083    -0.071    -0.170    -0.267    -0.556    -0.593    -0.594    -0.576    -0.763    -0.665    -0.784
1971    -0.760    -1.036    -0.969    -0.582    -0.705    -0.747    -0.751    -0.751    -0.847    -0.864    -0.609    -0.575
