model,season,index,best_value,training_value,top_n,var_thresh,extra_indices,only_sea
RF10,6,HWA,0.3778347637369381,0.8443611349728575,5.0,0.05,PDO-ONI-SAM,False
RF10,6,HWD,0.8944187582562747,0.8773086040998466,,,,
RF10,6,HWD,0.8944187582562747,0.8773086040998466,30.0,0.1,,False
RF5,6,HWF,0.8404160475482904,0.8185153954260893,,,,
RF5,6,HWF,0.8404160475482904,0.8185153954260893,20.0,0.1,,False
XGB15,6,HWM,0.5846013146613485,0.8791309410180315,15.0,0.1,PDO-ONI-SAM,True
XGB15,6,HWM,0.5638704460964223,0.8775882875793737,20.0,,PDO-ONI-SAM,True
RF10,6,HWN,0.6790084388185659,0.8776534845132743,5.0,,PDO-ONI-SAM,False
RF10,6,HWN,0.6790084388185659,0.8776534845132743,5.0,0.05,PDO-ONI-SAM,False
Linear,7,Average,0.6289361395790263,0.5582882017820548,15.0,,,True
Linear,7,Average,0.6289361395790263,0.5582882017820548,15.0,0.05,,True
RF10,7,HWA,0.7853741878139878,0.7924161916915184,5.0,,,True
RF10,7,HWA,0.7853741878139878,0.7924161916915184,5.0,0.05,,True
GPR,7,HWD,0.9311662842799848,0.7335428190407157,30.0,0.1,PDO-ONI-SAM,False
GPR,7,HWD,0.930483567362773,0.7046084614409764,20.0,,PDO-ONI-SAM,False
RF5,7,HWF,0.869761606022587,0.858437456722418,20.0,0.15,PDO-ONI-SAM,False
RF10,7,HWF,0.8651191969887088,0.8685118842712946,20.0,0.15,PDO-ONI-SAM,False
RF5,7,HWM,0.6760457395710757,0.782316493087581,15.0,0.1,,True
RF5,7,HWM,0.6760457395710757,0.782316493087581,,,,
Linear,7,HWN,0.9680736057616404,0.6158811938047899,15.0,,PDO-ONI-SAM,True
Linear,7,HWN,0.9680736057616404,0.6158811938047899,15.0,0.05,PDO-ONI-SAM,True
Linear,8,Average,-0.4855810373531767,0.3529314703238262,10.0,0.1,PDO-ONI-SAM,False
Linear,8,Average,-0.5938290781184692,0.3452069530737146,,,,
XGB10,8,HWA,-0.2683669762117595,0.7845371237506321,20.0,,PDO-ONI-SAM,False
XGB10,8,HWA,-0.2683669762117595,0.7845371237506321,20.0,0.05,PDO-ONI-SAM,False
XGB10,8,HWD,0.0640879921667353,0.7824662658560342,,,,
XGB10,8,HWD,0.0640879921667353,0.7824662658560342,,,,
XGB10,8,HWF,0.3259736747357558,0.7325961122337714,,,,
XGB10,8,HWF,0.3259736747357558,0.7325961122337714,,,,
XGB10,8,HWM,-0.5552220268772545,0.7465667246274621,,,,
XGB10,8,HWM,-0.5552220268772545,0.7465667246274621,,,,
Linear,8,HWN,-0.2374875560406857,0.3851498884455588,10.0,0.1,PDO-ONI-SAM,False
Linear,8,HWN,-0.278004440699747,0.3967603242888921,10.0,0.15,PDO-ONI-SAM,False
Linear,9,Average,0.7584913770354198,0.5223295588884616,20.0,0.15,PDO-ONI-SAM,False
Linear,9,Average,0.5140541118479207,0.4067306693122723,10.0,0.15,PDO-ONI-SAM,False
Linear,9,HWA,0.7417085086054702,0.5041983303835067,20.0,0.15,PDO-ONI-SAM,False
XGB15,9,HWA,0.5325612875188126,0.8815446687948056,10.0,0.1,PDO-ONI-SAM,False
XGB10,9,HWD,0.8657538757194689,0.7528888626912409,,,,
XGB10,9,HWD,0.8657538757194689,0.7528888626912409,5.0,0.1,,False
Linear,9,HWF,0.8166580847746145,0.5432530165558189,20.0,0.15,PDO-ONI-SAM,False
RF10,9,HWF,0.72914191419142,0.7666607962113363,,,,
Linear,9,HWM,0.5548464290163277,0.500869785845365,20.0,0.15,PDO-ONI-SAM,False
Linear,9,HWM,0.3853354307241431,0.5790664759963415,20.0,,PDO-ONI-SAM,True
Linear,9,HWN,0.9048075011367408,0.528654029550496,20.0,0.15,PDO-ONI-SAM,False
Linear,9,HWN,0.814693995804219,0.4904762081258168,15.0,0.15,PDO-ONI-SAM,False
XGB15,10,Average,0.1234416875694115,0.8685150364407687,30.0,0.15,,True
XGB15,10,Average,0.1234416875694115,0.8685150364407687,,,,
RF5,10,HWA,0.1451540324289072,0.8072569545672691,5.0,,PDO-ONI-SAM,False
RF5,10,HWA,0.1451540324289072,0.8072569545672691,5.0,0.05,PDO-ONI-SAM,False
XGB15,10,HWD,0.536771166624204,0.8702667724776825,,,,
XGB15,10,HWD,0.536771166624204,0.8702667724776825,30.0,0.15,,False
RF5,10,HWF,0.3444806707033053,0.6921489508877103,30.0,0.15,PDO-ONI-SAM,False
RF5,10,HWF,0.31835118770377,0.7017226314575925,,,,
XGB15,10,HWM,-0.0247012220614488,0.8903599464447769,30.0,0.05,PDO-ONI-SAM,False
RF10,10,HWM,-0.0290809426422786,0.8660727948923777,30.0,,PDO-ONI-SAM,False
XGB15,10,HWN,0.6001575634662994,0.8569372271128044,,,,
XGB15,10,HWN,0.6001575634662994,0.8569372271128044,30.0,0.15,,False
RF5,11,Average,0.2453806438316216,0.7765572172795725,,,,
RF5,11,Average,0.2453806438316216,0.7765572172795725,,,,
RF5,11,HWA,0.7017535991520156,0.7206156725003721,15.0,0.15,,True
RF5,11,HWA,0.7017535991520156,0.7206156725003721,,,,
RF10,11,HWD,0.4637248322147653,0.7651098656703139,15.0,,PDO-ONI-SAM,True
RF10,11,HWD,0.4637248322147653,0.7651098656703139,15.0,0.05,PDO-ONI-SAM,True
RF5,11,HWF,0.2583459214501489,0.6968463036824042,15.0,0.15,,True
RF5,11,HWF,0.2583459214501489,0.6968463036824042,,,,
RF5,11,HWM,0.5226053663490109,0.7681663949172773,15.0,0.15,PDO-ONI-SAM,False
RF5,11,HWM,0.5147534039230544,0.7497350035515933,,,,
RF10,11,HWN,0.1543147208121831,0.8365859019833142,10.0,,PDO-ONI-SAM,False
RF10,11,HWN,0.1543147208121831,0.8365859019833142,10.0,0.05,PDO-ONI-SAM,False
RF10,12,Average,0.4224301480145015,0.8337198146800542,,,,
RF10,12,Average,0.4224301480145015,0.8337198146800542,5.0,0.15,,False
GPR,12,HWA,0.7472349218337122,0.9820940918736688,30.0,,,True
GPR,12,HWA,0.7472349218337122,0.9820940918736688,30.0,0.05,,True
RF10,12,HWD,0.6519117103804948,0.8805718620964131,,,,
RF10,12,HWD,0.6519117103804948,0.8805718620964131,,,,
RF10,12,HWF,0.4563507162041166,0.8664174427290285,,,,
RF10,12,HWF,0.4563507162041166,0.8664174427290285,5.0,0.15,,False
GPR,12,HWM,0.8258793877840107,0.9849355080091128,30.0,,,True
GPR,12,HWM,0.8258793877840107,0.9849355080091128,30.0,0.05,,True
Linear,12,HWN,0.2145766237755242,0.6755032682534033,20.0,,PDO-ONI-SAM,True
Linear,12,HWN,0.206505564010936,0.6776690039687708,20.0,0.05,PDO-ONI-SAM,True
